Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code
SE_SLS_Ord2Pick_251121_1354.pptx,1,| S000. Opening Slide for Sales Order to Pick  Slide deck,S000. Opening Slide for Sales Order to Pick Slide deck,S000,Opening Slide for Sales Order to Pick Slide deck,/images/Ord2Pick/S000.png,,S001,
SE_SLS_Ord2Pick_251121_1354.pptx,2,S001. About Scott Electric and Welcome to Training,S001. About Scott Electric and Welcome to Training,S001,About Scott Electric and Welcome to Training,/images/Ord2Pick/S001.png,,S002,
SE_SLS_Ord2Pick_251121_1354.pptx,3,S002.  Quote to Cash Work Flow At SE Electrical Distribution,S002. Quote to Cash Work Flow At SE Electrical Distribution,S002,Quote to Cash Work Flow At SE Electrical Distribution,/images/Ord2Pick/S002.png,,S003,
SE_SLS_Ord2Pick_251121_1354.pptx,4,S003.  Pictorial representation of  Quote to Cash  - At SE Electrical Distribution,S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution,S003,Pictorial representation of Quote to Cash,/images/Ord2Pick/S003.png,,M1,
SE_SLS_Ord2Pick_251121_1354.pptx,5,M1.  Sales Order  to Pick SOP - At SE Electrical Distribution,M1. Sales Order to Pick SOP - At SE Electrical Distribution,M1,Sales Order to Pick SOP,/images/Ord2Pick/M1.png,,S1,
SE_SLS_Ord2Pick_251121_1354.pptx,6,S1. Initiate Sales order - Sales Order  to Pick SOP,S1. Initiate Sales order - Sales Order to Pick SOP,S1,Initiate Sales order,/images/Ord2Pick/S1.png,,S2,
SE_SLS_Ord2Pick_251121_1354.pptx,7,S2. Enter Order Lines  - Sales Order  to Pick SOP,S2. Enter Order Lines - Sales Order to Pick SOP,S2,Enter Order Lines,/images/Ord2Pick/S2.png,,D1,
SE_SLS_Ord2Pick_251121_1354.pptx,8,D1. No  “Add-on’s” - Sales Order  to Pick SOP,"D1. No ""Add-on’s"" - Sales Order to Pick SOP",D1,  No  “Add-on’s” ? - Sales Order  to Pick SOP,/images/Ord2Pick/D1.png,,Y1,N1
SE_SLS_Ord2Pick_251121_1354.pptx,9,Y1.  Yes - No Need  for “Add-on’s” - Sales Order  to Pick SOP,"Y1. Yes - No Need for ""Add-on’s"" - Sales Order to Pick SOP",Y1,Yes There are no add on for this order,/images/Ord2Pick/Y1.png,,S3,
SE_SLS_Ord2Pick_251121_1354.pptx,10,S3. Review Taxes and Totals  - Sales Order  to Pick SOP,S3. Review Taxes and Totals - Sales Order to Pick SOP,S3,Review Taxes and Totals,/images/Ord2Pick/S3.png,,D2,
SE_SLS_Ord2Pick_251121_1354.pptx,11,D2. No COD tendering ? - Sales Order  to Pick SOP,D2. No COD tendering ? - Sales Order to Pick SOP,D2,No COD tendering ?,/images/Ord2Pick/D2.png,,Y2,N2
SE_SLS_Ord2Pick_251121_1354.pptx,12,Y2. Yes “no COD Tendering”  - Sales Order  to Pick SOP,"Y2. Yes ""no COD Tendering"" - Sales Order to Pick SOP",Y2,"Yes ""no COD Tendering""",/images/Ord2Pick/Y2.png,,S4,
SE_SLS_Ord2Pick_251121_1354.pptx,13,S4. Finish Sales Order - Sales Order  to Pick SOP,S4. Finish Sales Order - Sales Order to Pick SOP,S4,Finish Sales Order,/images/Ord2Pick/S4.png,,D3,
SE_SLS_Ord2Pick_251121_1354.pptx,14,D3. Is it a blanket or Fulfillment Order ? - Sales Order  to Pick SOP,D3. Is it a blanket or Fulfillment Order ? - Sales Order to Pick SOP,D3,Is it a blanket or Fulfillment Order ?,/images/Ord2Pick/D3.png,,Y3,N3
SE_SLS_Ord2Pick_251121_1354.pptx,15,"Y3. Yes, it is a Blanket or Fulfillment Order  - Sales Order  to Pick SOP","Y3. Yes, it is a Blanket or Fulfillment Order - Sales Order to Pick SOP",Y3,"Yes, it is a Blanket or Fulfillment Order",/images/Ord2Pick/Y3.png,,S5,
SE_SLS_Ord2Pick_251121_1354.pptx,16,S5. Create Blanket or Fulfillment Order  - Sales Order  to Pick SOP,S5. Create Blanket or Fulfillment Order - Sales Order to Pick SOP,S5,Create Blanket or Fulfillment Order,/images/Ord2Pick/S5.png,,D4,
SE_SLS_Ord2Pick_251121_1354.pptx,17,D4. Sales order on hold ? - Sales Order  to Pick SOP,D4. Sales order on hold ? - Sales Order to Pick SOP,D4,Sales order on hold ?,/images/Ord2Pick/D4.png,,Y4,N4
SE_SLS_Ord2Pick_251121_1354.pptx,18,Y4. Sales Order is on Hold - Sales Order  to Pick SOP,Y4. Sales Order is on Hold - Sales Order to Pick SOP,Y4,Sales Order is on Hold,/images/Ord2Pick/Y4.png,,S6,
SE_SLS_Ord2Pick_251121_1354.pptx,19,S6. Notification sent to Credit - Sales Order  to Pick SOP,S6. Notification sent to Credit - Sales Order to Pick SOP,S6,Notification sent to Credit,/images/Ord2Pick/S6.png,,D5,
SE_SLS_Ord2Pick_251121_1354.pptx,20,D5. Was Credit Restored or COD or CC accepted? - Sales Order  to Pick SOP,D5. Was Credit Restored or COD or CC accepted? - Sales Order to Pick SOP,D5,Was Credit Restored or COD or CC accepted?,/images/Ord2Pick/D5.png,,Y5,N5
SE_SLS_Ord2Pick_251121_1354.pptx,21,"Y5.  Yes,  Credit Restored or COD or CC  was accepted? - Sales Order  to Pick SOP","Y5. Yes, Credit Restored or COD or CC was accepted? - Sales Order to Pick SOP",Y5,"Yes, Credit Restored or COD or CC was accepted?",/images/Ord2Pick/Y5.png,,S7,
SE_SLS_Ord2Pick_251121_1354.pptx,22,S7. Print Customer Acknowledgement and Pick Ticket - Sales Order  to Pick SOP,S7. Print Customer Acknowledgement and Pick Ticket - Sales Order to Pick SOP,S7,Print Customer Acknowledgement and Pick Ticket,/images/Ord2Pick/S7.png,,S8,
SE_SLS_Ord2Pick_251121_1354.pptx,23,S8. Proceed to the Pick to Invoice SOP - Sales Order  to Pick SOP,S8. Proceed to the Pick to Invoice SOP - Sales Order to Pick SOP,S8,Proceed to the Pick to Invoice SOP,/images/Ord2Pick/S8.png,,N5,
