"Source_PPT","SlideIndex","SelectionTitle","Title","Code","Title_short","Image_sub_url","Deci_Question","Next1_Code","Next2_Code"
"SE_OPS_Pick2_Invoice_Ver_112125_1818.pptx","1","| S000. Opening Slide for OPS Pick to Invoice Process Deck","S000. Opening Slide for OPS Pick to Invoice Process Deck","S000","Opening Slide for OPS Pick to Invoice Process Deck","/images/Pick2Inv/S000.png","","S001",""
"SE_OPS_Pick2_Invoice_Ver_112125_1818.pptx","2","S001. About Scott Electric and Welcome to Training","S001. About Scott Electric and Welcome to Training","S001","About Scott Electric and Welcome to Training","/images/Pick2Inv/S001.png","","S002",""
"SE_OPS_Pick2_Invoice_Ver_112125_1818.pptx","3","S002.  Quote to Cash Work Flow At SE Electrical Distribution","S002. Quote to Cash Work Flow At SE Electrical Distribution","S002","Quote to Cash Work Flow At SE Electrical Distribution","/images/Pick2Inv/S002.png","","S003",""
"SE_OPS_Pick2_Invoice_Ver_112125_1818.pptx","4","S003.  Pictorial representation of  Quote to Cash  - At SE Electrical Distribution","S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution","S003","Pictorial representation of Quote to Cash","/images/Pick2Inv/S003.png","","M1",""
"SE_OPS_Pick2_Invoice_Ver_112125_1818.pptx","5","M1.  Pick to Invoice Process  - At SE Electrical Distribution","M1. Pick to Invoice Process - At SE Electrical Distribution","M1","Pick to Invoice Process","/images/Pick2Inv/M1.png","","S1",""
"SE_OPS_Pick2_Invoice_Ver_112125_1818.pptx","6","S1. Pick ticket printed at Warehouse- At SE Electrical Distribution","S1. Pick ticket printed at Warehouse- At SE Electrical Distribution","S1","Pick ticket printed at Warehouse","/images/Pick2Inv/S1.png","","S2",""
"SE_OPS_Pick2_Invoice_Ver_112125_1818.pptx","7","S2. Order Picked and Staged - At SE Electrical Distribution","S2. Order Picked and Staged - At SE Electrical Distribution","S2","Order Picked and Staged","/images/Pick2Inv/S2.png","","S3",""
"SE_OPS_Pick2_Invoice_Ver_112125_1818.pptx","8","S3. Verification and Packing (confirm ordered vs Shipped) - At SE Electrical Distribution","S3. Verification and Packing (confirm ordered vs Shipped) - At SE Electrical Distribution","S3","Verification and Packing (confirm ordered vs Shipped)","/images/Pick2Inv/S3.png","","D1",""
"SE_OPS_Pick2_Invoice_Ver_112125_1818.pptx","9","D1. Decision was there NO difference between Ordered vs pick verified - At SE Electrical Distribution","D1. Decision was there NO difference between Ordered vs pick verified - At SE Electrical Distribution","D1","Decision was there NO difference between Ordered vs pick verified","/images/Pick2Inv/D1.png","","Y1","N1"
"SE_OPS_Pick2_Invoice_Ver_112125_1818.pptx","10","Y1. Yes, There is no difference between Qqty ordered and Qty  being shipped- At SE Electrical Distribution","Y1. Yes, There is no difference between Qqty ordered and Qty being shipped- At SE Electrical Distribution","Y1","Yes, There is no difference between Qqty ordered and Qty being shipped","/images/Pick2Inv/Y1.png","","S4",""
