"Source_PPT","SlideIndex","SelectionTitle","Title","Code","Title_short","Image_sub_url","Deci_Question","Next1_Code","Next2_Code"
"SE_SLS_Q2Ord_251115_2034.pptx","1","| S000. Opening Slide to the Quote to Sales Order Slide deck","S000. Opening Slide to the Quote to Sales Order Slide deck","S000","Opening Slide to the Quote to Sales Order Slide deck","/images/Quo2Ord/S000.png","","S001",""
"SE_SLS_Q2Ord_251115_2034.pptx","2","S001. About Scott Electric and Welcome to Training","S001. About Scott Electric and Welcome to Training","S001","About Scott Electric and Welcome to Training","/images/Quo2Ord/S001.png","","S002",""
"SE_SLS_Q2Ord_251115_2034.pptx","3","S002.  Sales to Cash Work Flow At SE Electrical Distribution","S002. Sales to Cash Work Flow At SE Electrical Distribution","S002","Sales to Cash Work Flow At SE Electrical Distribution","/images/Quo2Ord/S002.png","","S003",""
"SE_SLS_Q2Ord_251115_2034.pptx","4","S003.  Pictorial representation of  Quote to Cash  - At SE Electrical Distribution","S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution","S003","Pictorial representation of Quote to Cash","/images/Quo2Ord/S003.png","","M1",""
"SE_SLS_Q2Ord_251115_2034.pptx","5","M1.  Quote to Sales Order SOP - At SE Electrical Distribution","M1. Quote to Sales Order SOP - At SE Electrical Distribution","M1","Quote to Sales Order SOP","/images/Quo2Ord/M1.png","","S1",""
"SE_SLS_Q2Ord_251115_2034.pptx","6","S1.  Initiate Quote – SE Quote to Sales Order SOP","S1. Initiate Quote - SE Quote to Sales Order SOP","S1","Initiate Quote","/images/Quo2Ord/S1.png","","S2",""
"SE_SLS_Q2Ord_251115_2034.pptx","7","S2.  Enter Quote lines – SE Quote to Sales Order SOP","S2. Enter Quote lines - SE Quote to Sales Order SOP","S2","Enter Quote lines","/images/Quo2Ord/S2.png","","S3",""
"SE_SLS_Q2Ord_251115_2034.pptx","8","S3.  Enter Taxes and check totals– SE Quote to Sales Order SOP","S3. Enter Taxes and check totals- SE Quote to Sales Order SOP","S3","Enter Taxes and check totals","/images/Quo2Ord/S3.png","","S4",""
"SE_SLS_Q2Ord_251115_2034.pptx","9","S4.  Apply Add on  and  Charges– SE Quote to Sales Order SOP","S4. Apply Add on and Charges- SE Quote to Sales Order SOP","S4","Apply Add on and Charges","/images/Quo2Ord/S4.png","","S41",""
"SE_SLS_Q2Ord_251115_2034.pptx","10","S41.  Send Quote and await response – SE Quote to Sales Order SOP","S41. Send Quote and await response - SE Quote to Sales Order SOP","S41","Send Quote and await response","/images/Quo2Ord/S41.png","","D1",""
"SE_SLS_Q2Ord_251115_2034.pptx","11","D1.  Status of the Quote – SE Quote to Sales Order SOP","D1. Status of the Quote - SE Quote to Sales Order SOP","D1","Status of the Quote","/images/Quo2Ord/D1.png","","Y1","N1"
