"Source_PPT","SlideIndex","SelectionTitle","Title","Code","Title_short","Image_sub_url","Deci_Question","Next1_Code","Next2_Code"
"SE_OPS_Shp_FB_112125_1340.pptx","1","| S000. Opening Slide for OPS Shipping feed Back","S000. Opening Slide for OPS Shipping feed Back","S000","Opening Slide for OPS Shipping feed Back","/images/ShipFB/S000.png","","S001",""
"SE_OPS_Shp_FB_112125_1340.pptx","2","S001. About Scott Electric and Welcome to Training","S001. About Scott Electric and Welcome to Training","S001","About Scott Electric and Welcome to Training","/images/ShipFB/S001.png","","S002",""
"SE_OPS_Shp_FB_112125_1340.pptx","3","S002.  Quote to Cash Work Flow At SE Electrical Distribution","S002. Quote to Cash Work Flow At SE Electrical Distribution","S002","Quote to Cash Work Flow At SE Electrical Distribution","/images/ShipFB/S002.png","","S003",""
"SE_OPS_Shp_FB_112125_1340.pptx","4","S003.  Pictorial representation of  Quote to Cash  - At SE Electrical Distribution","S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution","S003","Pictorial representation of Quote to Cash","/images/ShipFB/S003.png","","M1",""
"SE_OPS_Shp_FB_112125_1340.pptx","5","M1.  Shipping Feed Back - At SE Electrical Distribution","M1. Shipping Feed Back - At SE Electrical Distribution","M1","Shipping Feed Back","/images/ShipFB/M1.png","","S1",""
"SE_OPS_Shp_FB_112125_1340.pptx","6","S1. Enter or search for Order# - At SE Electrical Distribution","S1. Enter or search for Order# - At SE Electrical Distribution","S1","Enter or search for Order#","/images/ShipFB/S1.png","","S2",""
"SE_OPS_Shp_FB_112125_1340.pptx","7","S2. Review the details of the Order - At SE Electrical Distribution","S2. Review the details of the Order - At SE Electrical Distribution","S2","Review the details of the Order","/images/ShipFB/S2.png","","S3",""
"SE_OPS_Shp_FB_112125_1340.pptx","8","S3. Enter adjusted to be shipped - At SE Electrical Distribution","S3. Enter adjusted to be shipped - At SE Electrical Distribution","S3","Enter adjusted to be shipped","/images/ShipFB/S3.png","","D1",""
"SE_OPS_Shp_FB_112125_1340.pptx","9","D1. Qty the product need a Physical due available shortage  - At SE Electrical Distribution","D1. Qty the product need a Physical due available shortage - At SE Electrical Distribution","D1","Qty the product need a Physical due available shortage","/images/ShipFB/D1.png","","Y1","N1"
"SE_OPS_Shp_FB_112125_1340.pptx","10","Y1. Decision to initiate a physical count is taken - At SE Electrical Distribution","Y1. Decision to initiate a physical count is taken - At SE Electrical Distribution","Y1","Decision to initiate a physical count is taken","/images/ShipFB/Y1.png","","S4",""
"SE_OPS_Shp_FB_112125_1340.pptx","11","S4. Flag Product to be counted  - At SE Electrical Distribution","S4. Flag Product to be counted - At SE Electrical Distribution","S4","Flag Product to be counted","/images/ShipFB/S4.png","","D2",""
"SE_OPS_Shp_FB_112125_1340.pptx","12","D2. Is this a lot or Serialized item ?- At SE Electrical Distribution","D2. Is this a lot or Serialized item ?- At SE Electrical Distribution","D2","Is this a lot or Serialized item ?","/images/ShipFB/D2.png","","Y2","N2"
"SE_OPS_Shp_FB_112125_1340.pptx","13","Y2. Yes this is a lot or Serialized item - At SE Electrical Distribution","Y2. Yes this is a lot or Serialized item - At SE Electrical Distribution","Y2","Yes this is a lot or Serialized item","/images/ShipFB/Y2.png","","S5",""
"SE_OPS_Shp_FB_112125_1340.pptx","14","S5. Drill into the line-item details - At SE Electrical Distribution","S5. Drill into the line-item details - At SE Electrical Distribution","S5","Drill into the line","/images/ShipFB/S5.png","","S6",""
"SE_OPS_Shp_FB_112125_1340.pptx","15","S6. Enter or select Serial number or lot number   - At SE Electrical Distribution","S6. Enter or select Serial number or lot number - At SE Electrical Distribution","S6","Enter or select Serial number or lot number","/images/ShipFB/S6.png","","S7",""
"SE_OPS_Shp_FB_112125_1340.pptx","16","S7. Apply Add-ons    - At SE Electrical Distribution","S7. Apply Add-ons - At SE Electrical Distribution","S7","Apply Add","/images/ShipFB/S7.png","","S8",""
"SE_OPS_Shp_FB_112125_1340.pptx","17","S8. Complete the Shipping feed back details - At SE Electrical Distribution","S8. Complete the Shipping feed back details - At SE Electrical Distribution","S8","Complete the Shipping feed back details","/images/ShipFB/S8.png","","S9",""
"SE_OPS_Shp_FB_112125_1340.pptx","18","S9. Ship the order - At SE Electrical Distribution","S9. Ship the order - At SE Electrical Distribution","S9","Ship the order","/images/ShipFB/S9.png","","S10",""
"SE_OPS_Shp_FB_112125_1340.pptx","19","S10. Print Shipping Document - At SE Electrical Distribution","S10. Print Shipping Document - At SE Electrical Distribution","S10","Print Shipping Document","/images/ShipFB/S10.png","","N1",""
"SE_OPS_Shp_FB_112125_1340.pptx","20","N1. No, a physical count is not warranted - At SE Electrical Distribution","N1. No, a physical count is not warranted - At SE Electrical Distribution","N1","No, a physical count is not warranted","/images/ShipFB/N1.png","","N2",""
"SE_OPS_Shp_FB_112125_1340.pptx","21","N2. No, this is not a Sterilized or lotted item  - At SE Electrical Distribution","N2. No, this is not a Sterilized or lotted item - At SE Electrical Distribution","N2","No, this is not a Sterilized or lotted item","/images/ShipFB/N2.png","","S999",""
"SE_OPS_Shp_FB_112125_1340.pptx","22","S999. You have successfully completed this SOP","S999. You have successfully completed this SOP","S999","You have successfully completed this SOP","/images/ShipFB/S999.png","","",""
