"Source_PPT","SlideIndex","SelectionTitle","Title","Code","Title_short","Image_sub_url","Deci_Question","Next1_Code","Next2_Code"
"PPS_Service_StrtUp_251123_1434.pptx","1","| S000. Opening Slide for PPS – Service – Generator Startup Deck","S000. Opening Slide for PPS - Service - Generator Startup Deck","S000","Opening Slide for PPS","/images/StartUp/S000.png","","S001",""
"PPS_Service_StrtUp_251123_1434.pptx","2","S001. About Palco Power Systems and Scott Electric and  a Welcome to Training","S001. About Palco Power Systems and Scott Electric and a Welcome to Training","S001","About Palco Power Systems and Scott Electric and a Welcome to Training","/images/StartUp/S001.png","","S002",""
"PPS_Service_StrtUp_251123_1434.pptx","3","S002.  Palco Power Systems – Service to Cash Work Flow","S002. Palco Power Systems - Service to Cash Work Flow","S002","Palco Power Systems","/images/StartUp/S002.png","","S003",""
"PPS_Service_StrtUp_251123_1434.pptx","4","S003.  Pictorial representation of  Quote to Cash similar to Service to Cash   - At PPS Service","S003. Pictorial representation of Quote to Cash similar to Service to Cash - At PPS Service","S003","Pictorial representation of Quote to Cash similar to Service to Cash","/images/StartUp/S003.png","","M1",""
"PPS_Service_StrtUp_251123_1434.pptx","5","M1. Generator Startup - At PPS Service","M1. Generator Startup - At PPS Service","M1","Generator Startup","/images/StartUp/M1.png","","S1",""
"PPS_Service_StrtUp_251123_1434.pptx","6","S1. Customer Calls For Start Up– Startup SOP","S1. Customer Calls For Start Up- Startup SOP","S1","Customer Calls For Start Up","/images/StartUp/S1.png","","D1",""
"PPS_Service_StrtUp_251123_1434.pptx","7","D1. Genset Sold by Palco – Startup SOP","D1. Genset Sold by Palco - Startup SOP","D1","Genset Sold by Palco","/images/StartUp/D1.png","","Y1",""
"PPS_Service_StrtUp_251123_1434.pptx","8","Y1. Yes Genset Sold by Palco – Startup SOP","Y1. Yes Genset Sold by Palco - Startup SOP","Y1","Yes Genset Sold by Palco","/images/StartUp/Y1.png","","D2",""
"PPS_Service_StrtUp_251123_1434.pptx","9","D2. Is Original Order Known– Startup SOP","D2. Is Original Order Known- Startup SOP","D2","Is Original Order Known","/images/StartUp/D2.png","","Y2","N2"
"PPS_Service_StrtUp_251123_1434.pptx","10","Y2. Order Number is known– Startup SOP","Y2. Order Number is known- Startup SOP","Y2","Order Number is known","/images/StartUp/Y2.png","","S2",""
"PPS_Service_StrtUp_251123_1434.pptx","11","S2. Perform Order Enquiry – Startup SOP","S2. Perform Order Enquiry - Startup SOP","S2","Perform Order Enquiry","/images/StartUp/S2.png","","S3",""
"PPS_Service_StrtUp_251123_1434.pptx","12","S3. Verify Payment Status – Startup SOP","S3. Verify Payment Status - Startup SOP","S3","Verify Payment Status","/images/StartUp/S3.png","","S4",""
"PPS_Service_StrtUp_251123_1434.pptx","13","S4. Create Startup Incident – Startup SOP","S4. Create Startup Incident - Startup SOP","S4","Create Startup Incident","/images/StartUp/S4.png","","S8",""
"PPS_Service_StrtUp_251123_1434.pptx","14","S8. Add Startup Notes– Startup SOP","S8. Add Startup Notes- Startup SOP","S8","Add Startup Notes","/images/StartUp/S8.png","","S9",""
"PPS_Service_StrtUp_251123_1434.pptx","15","S9. Add Lines– Startup SOP","S9. Add Lines- Startup SOP","S9","Add Lines","/images/StartUp/S9.png","","S10",""
"PPS_Service_StrtUp_251123_1434.pptx","16","S10. Schedule startup – Startup SOP","S10. Schedule startup - Startup SOP","S10","Schedule startup","/images/StartUp/S10.png","","S11",""
"PPS_Service_StrtUp_251123_1434.pptx","17","S11. Print Pick ticket– Startup SOP","S11. Print Pick ticket- Startup SOP","S11","Print Pick ticket","/images/StartUp/S11.png","","S12",""
"PPS_Service_StrtUp_251123_1434.pptx","18","S12. Shipping Feed back – Startup SOP","S12. Shipping Feed back - Startup SOP","S12","Shipping Feed back","/images/StartUp/S12.png","","S13",""
"PPS_Service_StrtUp_251123_1434.pptx","19","S13. Assigned Tech Performs Start-up– Startup SOP","S13. Assigned Tech Performs Start-up- Startup SOP","S13","Assigned Tech Performs Start","/images/StartUp/S13.png","","S14",""
"PPS_Service_StrtUp_251123_1434.pptx","20","S14. Register Unit– Startup SOP","S14. Register Unit- Startup SOP","S14","Register Unit","/images/StartUp/S14.png","","S5",""
"PPS_Service_StrtUp_251123_1434.pptx","21","S5. Order Enquiry Using Serial Number– Startup SOP","S5. Order Enquiry Using Serial Number- Startup SOP","S5","Order Enquiry Using Serial Number","/images/StartUp/S5.png","","S6",""
"PPS_Service_StrtUp_251123_1434.pptx","22","S6. Create New Unit – Startup SOP","S6. Create New Unit - Startup SOP","S6","Create New Unit","/images/StartUp/S6.png","","S7",""
"PPS_Service_StrtUp_251123_1434.pptx","23","S7. Create Chargeable SRO – Startup SOP","S7. Create Chargeable SRO - Startup SOP","S7","Create Chargeable SRO","/images/StartUp/S7.png","","N2",""
"PPS_Service_StrtUp_251123_1434.pptx","24","N2. Original Sale Order Not Known – Startup SOP","N2. Original Sale Order Not Known - Startup SOP","N2","Original Sale Order Not Known","/images/StartUp/N2.png","","N2",""
"PPS_Service_StrtUp_251123_1434.pptx","25","N2. Original Sale Order Not Known – Startup SOP","N2. Original Sale Order Not Known - Startup SOP","N2","Original Sale Order Not Known","/images/StartUp/N2.png","","N2",""
"PPS_Service_StrtUp_251123_1434.pptx","26","N2. No Gen Set Not sold by Palco – Startup SOP","N2. No Gen Set Not sold by Palco - Startup SOP","N2","No Gen Set Not sold by Palco","/images/StartUp/N2.png","","S999",""
"PPS_Service_StrtUp_251123_1434.pptx","27","S999. You have successfully completed this SOP","S999. You have successfully completed this SOP","S999","You have successfully completed this SOP","/images/StartUp/S999.png","","",""
