Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code
TCH_PPS_SOP.pptx,1,,Template on for creating  SOPPPT option,Slide_01,Slide_01,/images/Tech/Slide_01.png,,M1,
TCH_PPS_SOP.pptx,2,Mst_Tech_M,.M1 – Tech Mobile,M1,Mst_Tech_M,/images/Tech/M1.png,,S1,
TCH_PPS_SOP.pptx,3,App_Acpt,S1. Appointment Accepted – Tech Mobile SRO,S1,App_Acpt,/images/Tech/S1.png,,S2,
TCH_PPS_SOP.pptx,4,Trvl_2_Site,S2. Travel to Site – Tech Mobile SRO,S2,Trvl_2_Site,/images/Tech/S2.png,,S3,
TCH_PPS_SOP.pptx,5,Perf_Site_Wrk,S3. Perform Site Work– Tech Mobile SRO,S3,Perf_Site_Wrk,/images/Tech/S3.png,,D1,
TCH_PPS_SOP.pptx,6,Need_Add_Mat,D1. Additional Material Needed – Tech Mobile SRO,D1,Need_Add_Mat,/images/Tech/D1.png,D1. Additional Material Needed – Tech Mobile SRO,Y1,N1
TCH_PPS_SOP.pptx,7,Yes_Mat_needed,Y1. Yes Additional Material is needed– Tech Mobile SRO,Y1,Yes_Mat_needed,/images/Tech/Y1.png,,S4,
TCH_PPS_SOP.pptx,8,Add_Material,S4. Add Additional material – Tech Mobile SRO,S4,Add_Material,/images/Tech/S4.png,,S5,
TCH_PPS_SOP.pptx,9,Trvl_Frm_Site,S5. Travel from Site – Tech Mobile SRO,S5,Trvl_Frm_Site,/images/Tech/S5.png,,D2,
TCH_PPS_SOP.pptx,10,Add_Wrk_needed,D2. Is Additional Work – Tech Mobile SRO,D2,Add_Wrk_needed,/images/Tech/D2.png,D2. Is Additional Work – Tech Mobile SRO,Y2,N2
TCH_PPS_SOP.pptx,11,Yes_ADD_Wrk,Y2. Yes  Additional Work is needed – Tech Mobile SRO,Y2,Yes_ADD_Wrk,/images/Tech/Y2.png,,D3,
TCH_PPS_SOP.pptx,12,Addl_Wrk_Comp,D3. Additional Work Completed during this visit – Tech Mobile SRO,D3,Addl_Wrk_Comp,/images/Tech/D3.png,D3. Additional Work Completed during this visit – Tech Mobile SRO,Y3,N3
TCH_PPS_SOP.pptx,13,Addl_wrk_compl,Y3. Additional Work can be completed  – Tech Mobile SRO,Y3,Addl_wrk_compl,/images/Tech/Y3.png,,S6,
TCH_PPS_SOP.pptx,14,Cret_New_SRO,S6. Create New SRO– Tech Mobile SRO,S6,Cret_New_SRO,/images/Tech/S6.png,,N3,
TCH_PPS_SOP.pptx,15,Addl_Wrk_not_Done,N3. No Additional work not completed this visit – Tech Mobile SRO,N3,Addl_Wrk_not_Done,/images/Tech/N3.png,,S7,
TCH_PPS_SOP.pptx,16,SRO_Stat_Chng,S7. Change Status to Call Back – Tech Mobile SRO,S7,SRO_Stat_Chng,/images/Tech/S7.png,,N2,
TCH_PPS_SOP.pptx,17,No_Addnl_Wrk,N2 No Additional work is needed– Tech Mobile SRO,N2,No_Addnl_Wrk,/images/Tech/N2.png,,S8,
TCH_PPS_SOP.pptx,18,Chng_Stat_Clsd,S8. Change Status to Closed – Tech Mobile SRO,S8,Chng_Stat_Clsd,/images/Tech/S8.png,,N1,
TCH_PPS_SOP.pptx,19,No_Addnl_Mat,N1. No Additional Material Needed – Tech Mobile SRO,N1,No_Addnl_Mat,/images/Tech/N1.png,,,
