"Source_PPT","SlideIndex","SelectionTitle","Title","Code","Title_short","Image_sub_url","Deci_Question","Next1_Code","Next2_Code"
"PPS_Service_Warranty102525_1706.pptx","1","S00. Introduction  slide for deck for the warranty processing","S00. Introduction slide for deck for the warranty processing","S00","Introduction slide for deck for the warranty processing","/images/Warranty/S00.png","","M1",""
"PPS_Service_Warranty102525_1706.pptx","2","M1. Warranty Process – PPS Service ISM","M1. Warranty Process - PPS Service ISM","M1","Warranty Process","/images/Warranty/M1.png","","S1",""
"PPS_Service_Warranty102525_1706.pptx","3","S1. Tech Marks Service call as possible warranty – Warranty Process","S1. Tech Marks Service call as possible warranty - Warranty Process","S1","Tech Marks Service call as possible warranty","/images/Warranty/S1.png","","S2",""
"PPS_Service_Warranty102525_1706.pptx","4","S2. Tech Filter Working status – Warranty Process","S2. Tech Filter Working status - Warranty Process","S2","Tech Filter Working status","/images/Warranty/S2.png","","S3",""
"PPS_Service_Warranty102525_1706.pptx","5","S3. Warranty Specialist submits Warranty to Vendor – Warranty Process","S3. Warranty Specialist submits Warranty to Vendor - Warranty Process","S3","Warranty Specialist submits Warranty to Vendor","/images/Warranty/S3.png","","D1",""
"PPS_Service_Warranty102525_1706.pptx","6","D1. Was the warranty submission accepted – Warranty Process","D1. Was the warranty submission accepted - Warranty Process","D1","Was the warranty submission accepted","/images/Warranty/D1.png","","Y1","N1"
"PPS_Service_Warranty102525_1706.pptx","7","Y1. Yes, Warranty submission was accepted– Warranty Process","Y1. Yes, Warranty submission was accepted- Warranty Process","Y1","Yes, Warranty submission was accepted","/images/Warranty/Y1.png","","S5",""
"PPS_Service_Warranty102525_1706.pptx","8","S5. Change working Status – Warranty Process","S5. Change working Status - Warranty Process","S5","Change working Status","/images/Warranty/S5.png","","S6",""
"PPS_Service_Warranty102525_1706.pptx","9","S6. Change Operation – Warranty Process","S6. Change Operation - Warranty Process","S6","Change Operation","/images/Warranty/S6.png","","S7",""
"PPS_Service_Warranty102525_1706.pptx","10","S7. Override Customer Billing  – Warranty Process","S7. Override Customer Billing - Warranty Process","S7","Override Customer Billing","/images/Warranty/S7.png","","S8",""
"PPS_Service_Warranty102525_1706.pptx","11","S8. ISM Invoicing process – Warranty Process","S8. ISM Invoicing process - Warranty Process","S8","ISM Invoicing process","/images/Warranty/S8.png","","S9",""
"PPS_Service_Warranty102525_1706.pptx","12","S9. Mark SRO as accepted – Warranty Process","S9. Mark SRO as accepted - Warranty Process","S9","Mark SRO as accepted","/images/Warranty/S9.png","","S10",""
"PPS_Service_Warranty102525_1706.pptx","13","S10. Mark SRO as being reconciled – Warranty Process","S10. Mark SRO as being reconciled - Warranty Process","S10","Mark SRO as being reconciled","/images/Warranty/S10.png","","S11",""
"PPS_Service_Warranty102525_1706.pptx","14","S11. Mark SRO as being reconciled – Warranty Process","S11. Mark SRO as being reconciled - Warranty Process","S11","Mark SRO as being reconciled","/images/Warranty/S11.png","","N1",""
"PPS_Service_Warranty102525_1706.pptx","15","N1. No, Warranty submission was accepted– Warranty Process","N1. No, Warranty submission was accepted- Warranty Process","N1","No, Warranty submission was accepted","/images/Warranty/N1.png","","S4",""
"PPS_Service_Warranty102525_1706.pptx","16","S4. SRO is treated as billable and processed as per SRO sop – Warranty Process","S4. SRO is treated as billable and processed as per SRO sop - Warranty Process","S4","SRO is treated as billable and processed as per SRO sop","/images/Warranty/S4.png","","S99",""
"PPS_Service_Warranty102525_1706.pptx","17","S99.. Exit – You have come to the end of the path selected in the – Warranty Process","S99.. Exit - You have come to the end of the path selected in the - Warranty Process","S99",". Exit","/images/Warranty/S99.png","","",""
