Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,OPM_Step,Source_File,Source_Title,Step_narr_in,Step_narr_out_simple,Step_narr_out,Step_narr_m_out_simple,Step_narr_m_out,Code-OPM_S,Match_conf
SE_SLS_Enter_line_Opt2_251203_1402.pptx,1,| S000. Opening Slide for Sales Order Line Entry Deck,s000. opening slide for sales order line entry deck,s000,opening slide for sales order line entry deck,/images/LineEnt/S000.png,,S001,,,,,,,,,,p13,0.38202247191011235
SE_SLS_Enter_line_Opt2_251203_1402.pptx,2,S001. About Scott Electric and Welcome to Training,s001. about scott electric and welcome to training,s001,about scott electric and welcome to training,/images/LineEnt/S001.png,,S002,,,,,,,,,,p25,0.2916666666666667
SE_SLS_Enter_line_Opt2_251203_1402.pptx,3,S002.  Quote to Cash Work Flow At SE Electrical Distribution,s002. quote to cash work flow at se electrical distribution,s002,quote to cash work flow at se electrical distribution,/images/LineEnt/S002.png,,S003,,,,,,,,,,p31,0.33707865168539325
SE_SLS_Enter_line_Opt2_251203_1402.pptx,4,S003.  Pictorial representation of  Quote to Cash  - At SE Electrical Distribution,s003. pictorial representation of quote to cash - at se electrical distribution,s003,pictorial representation of quote to cash,/images/LineEnt/S003.png,,M1,,,,,,,,,,p6,0.29838709677419356
SE_SLS_Enter_line_Opt2_251203_1402.pptx,5,M1.  Sales Order  Line Entry - At SE Electrical Distribution,m1. sales order line entry - at se electrical distribution,m1,sales order line entry,/images/LineEnt/M1.png,,D1,,,,,,,,,,p31,0.3954802259887006
SE_SLS_Enter_line_Opt2_251203_1402.pptx,6,D1.  A decision on  whether the user want to enter lines  using “Easy” entry - At SE Electrical Distribution,"d1. a decision on whether the user want to enter lines using ""easy"" entry - at se electrical distribution",d1,"a decision on whether the user want to enter lines using ""easy"" entry",/images/LineEnt/D1.png,,Y1,N1,,,,,,,,,p1,0.39919354838709675
SE_SLS_Enter_line_Opt2_251203_1402.pptx,7,Y1.  User has selected  Easy entry - At SE Electrical Distribution,y1. user has selected easy entry - at se electrical distribution,y1,user has selected easy entry,/images/LineEnt/Y1.png,,S1,,,,,,,,,,p24,0.31932773109243695
SE_SLS_Enter_line_Opt2_251203_1402.pptx,8,S1. Easy Line entry Selected- At SE Electrical Distribution,s1. easy line entry selected- at se electrical distribution,s1,easy line entry selected,/images/LineEnt/S1.png,,S2,,,,,,,,,,p24,0.379746835443038
SE_SLS_Enter_line_Opt2_251203_1402.pptx,9,S2. Search Products to add - At SE Electrical Distribution,s2. search products to add - at se electrical distribution,s2,search products to add,/images/LineEnt/S2.png,,S3,,,,,,,,,,pm,0.41025641025641024
SE_SLS_Enter_line_Opt2_251203_1402.pptx,10,S3. Enter the Quantity required - At SE Electrical Distribution,s3. enter the quantity required - at se electrical distribution,s3,enter the quantity required,/images/LineEnt/S3.png,,S4,,,,,,,,,,p26,0.40540540540540543
SE_SLS_Enter_line_Opt2_251203_1402.pptx,11,S4. Add additional product to Sales order - At SE Electrical Distribution,s4. add additional product to sales order - at se electrical distribution,s4,add additional product to sales order,/images/LineEnt/S4.png,,D2,,,,,,,,,,p33,0.4622222222222222
SE_SLS_Enter_line_Opt2_251203_1402.pptx,12,D2. A decision on  whether the user want to enter lines  using “Shopping List” entry - At SE Electrical Distribution,"d2. a decision on whether the user want to enter lines using ""shopping list"" entry - at se electrical distribution",d2,"a decision on whether the user want to enter lines using ""shopping list"" entry",/images/LineEnt/D2.png,,Y2,N2,,,,,,,,,p1,0.4
SE_SLS_Enter_line_Opt2_251203_1402.pptx,13,"Y2. Yes, Line entry using shopping list is being used - At SE Electrical Distribution","y2. yes, line entry using shopping list is being used - at se electrical distribution",y2,"yes, line entry using shopping list is being used",/images/LineEnt/Y2.png,,S5,,,,,,,,,,p41,0.5019011406844106
SE_SLS_Enter_line_Opt2_251203_1402.pptx,14,S5. Shopping List Entry  - At SE Electrical Distribution,s5. shopping list entry - at se electrical distribution,s5,shopping list entry,/images/LineEnt/S5.png,,S6,,,,,,,,,,p24,0.32727272727272727
SE_SLS_Enter_line_Opt2_251203_1402.pptx,15,S6. select shopping list type  - At SE Electrical Distribution,s6. select shopping list type - at se electrical distribution,s6,select shopping list type,/images/LineEnt/S6.png,,S7,,,,,,,,,,p24,0.3
SE_SLS_Enter_line_Opt2_251203_1402.pptx,16,S7. Enter List Criteria  - At SE Electrical Distribution,s7. enter list criteria - at se electrical distribution,s7,enter list criteria,/images/LineEnt/S7.png,,S8,,,,,,,,,,p24,0.36363636363636365
SE_SLS_Enter_line_Opt2_251203_1402.pptx,17,S8. Enter Quantity - At SE Electrical Distribution,s8. enter quantity - at se electrical distribution,s8,enter quantity,/images/LineEnt/S8.png,,S9,,,,,,,,,,p26,0.3851851851851852
SE_SLS_Enter_line_Opt2_251203_1402.pptx,18,S9. Add  additional products to the list - At SE Electrical Distribution,s9. add additional products to the list - at se electrical distribution,s9,add additional products to the list,/images/LineEnt/S9.png,,D3,,,,,,,,,,p38,0.4032258064516129
SE_SLS_Enter_line_Opt2_251203_1402.pptx,19,D3.  A decision on  to enter line items using “Quick” entry  needs to be taken - At SE Electrical Distribution,"d3. a decision on to enter line items using ""quick"" entry needs to be taken - at se electrical distribution",d3,"a decision on to enter line items using ""quick"" entry needs to be taken",/images/LineEnt/D3.png,,Y3,N3,,,,,,,,,p43,0.4198473282442748
SE_SLS_Enter_line_Opt2_251203_1402.pptx,20,"Y3. Yes, Quick line entry was selected - At SE Electrical Distribution","y3. yes, quick line entry was selected - at se electrical distribution",y3,"yes, quick line entry was selected",/images/LineEnt/Y3.png,,S10,,,,,,,,,,p24,0.3595505617977528
SE_SLS_Enter_line_Opt2_251203_1402.pptx,21,S10. Quick line entry  - At SE Electrical Distribution,s10. quick line entry - at se electrical distribution,s10,quick line entry,/images/LineEnt/S10.png,,S11,,,,,,,,,,p24,0.37037037037037035
SE_SLS_Enter_line_Opt2_251203_1402.pptx,22,S11. Enter Product Number - At SE Electrical Distribution,s11. enter product number - at se electrical distribution,s11,enter product number,/images/LineEnt/S11.png,,S12,,,,,,,,,,p24,0.4642857142857143
SE_SLS_Enter_line_Opt2_251203_1402.pptx,23,S12. Enter Quantity required  - At SE Electrical Distribution,s12. enter quantity required - at se electrical distribution,s12,enter quantity required,/images/LineEnt/S12.png,,S13,,,,,,,,,,p26,0.3724137931034483
SE_SLS_Enter_line_Opt2_251203_1402.pptx,24,S13. Enter Price  Optional as system would offer best price for the customer- At SE Electrical Distribution,s13. enter price optional as system would offer best price for the customer- at se electrical distribution,s13,enter price optional as system would offer best price for the customer,/images/LineEnt/S13.png,,D4,,,,,,,,,,p21,0.5791245791245792
SE_SLS_Enter_line_Opt2_251203_1402.pptx,25,D4. Last product? - At SE Electrical Distribution,d4. last product? - at se electrical distribution,d4,last product?,/images/LineEnt/D4.png,,Y4,N4,,,,,,,,,p44,0.3458646616541353
SE_SLS_Enter_line_Opt2_251203_1402.pptx,26,"Y4. Yes, No more products to enter - At SE Electrical Distribution","y4. yes, no more products to enter - at se electrical distribution",y4,"yes, no more products to enter",/images/LineEnt/Y4.png,,S14,,,,,,,,,,p24,0.47058823529411764
SE_SLS_Enter_line_Opt2_251203_1402.pptx,27,S14.  Add Quick List lines  - At SE Electrical Distribution,s14. add quick list lines - at se electrical distribution,s14,add quick list lines,/images/LineEnt/S14.png,,N1,,,,,,,,,,p31,0.3181818181818182
SE_SLS_Enter_line_Opt2_251203_1402.pptx,28,"N1. No, the user is not using Easy line Entry - At SE Electrical Distribution","n1. no, the user is not using easy line entry - at se electrical distribution",n1,"no, the user is not using easy line entry",/images/LineEnt/N1.png,,N2,,,,,,,,,,p8,0.44363636363636366
