SelectionTitle,Title,Code,Title_short,OPM_Step,Source_File,Source_Title,Step_narr_in,Code-OPM_S,Match_conf
| S000. Opening Slide for Sales Order to Pick Slide deck,S000. Opening Slide for Sales Order to Pick Slide deck,S000,Opening Slide for Sales Order to Pick Slide deck,,,,,,
S001. About Scott Electric and Welcome to Training,S001. About Scott Electric and Welcome to Training,S001,About Scott Electric and Welcome to Training,,,,,,
S002. Quote to Cash Work Flow At SE Electrical Distribution,S002. Quote to Cash Work Flow At SE Electrical Distribution,S002,Quote to Cash Work Flow At SE Electrical Distribution,,,,,,
S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution,S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution,S003,Pictorial representation of Quote to Cash,,,,,,
M1. Sales Order to Pick SOP - At SE Electrical Distribution,M1. Sales Order to Pick SOP - At SE Electrical Distribution,M1,Sales Order to Pick SOP,,,,,,
S1. Initiate Sales order - Sales Order to Pick SOP,S1. Initiate Sales order - Sales Order to Pick SOP,S1,Initiate Sales order,,,,,,
S2. Enter Order Lines - Sales Order to Pick SOP,S2. Enter Order Lines - Sales Order to Pick SOP,S2,Enter Order Lines,,,,,,
D1. No “Add-on’s” - Sales Order to Pick SOP,"D1. No ""Add-on’s"" - Sales Order to Pick SOP",D1,No “Add-on’s” ? - Sales Order to Pick SOP,,,,,,
Y1. Yes - No Need for “Add-on’s” - Sales Order to Pick SOP,"Y1. Yes - No Need for ""Add-on’s"" - Sales Order to Pick SOP",Y1,Yes There are no add on for this order,,,,,,
S3. Review Taxes and Totals - Sales Order to Pick SOP,S3. Review Taxes and Totals - Sales Order to Pick SOP,S3,Review Taxes and Totals,,,,,,
D2. No COD tendering ? - Sales Order to Pick SOP,D2. No COD tendering ? - Sales Order to Pick SOP,D2,No COD tendering ?,,,,,,
Y2. Yes “no COD Tendering” - Sales Order to Pick SOP,"Y2. Yes ""no COD Tendering"" - Sales Order to Pick SOP",Y2,"Yes ""no COD Tendering""",,,,,,
S4. Finish Sales Order - Sales Order to Pick SOP,S4. Finish Sales Order - Sales Order to Pick SOP,S4,Finish Sales Order,,,,,,
D3. Is it a blanket or Fulfillment Order ? - Sales Order to Pick SOP,D3. Is it a blanket or Fulfillment Order ? - Sales Order to Pick SOP,D3,Is it a blanket or Fulfillment Order ?,,,,,,
