Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,match_code_OPM,OPM_Step,Source_Title,Narr1,Narr2,Narr3,Disp_next1,Disp_next2,Disp_next3,UAP url,UAP Label,start_here,Mismatch
SE_SLS_Ord2Pick_251121_1354.pptx,1,| S000. Opening Slide for Sales Order to Pick  Slide deck,S000. Opening Slide for Sales Order to Pick Slide deck,S000,Opening Slide for Sales Order to Pick Slide deck,/images/Ord2Pick/S000.png,,S001,,,,,this deck of slides or pictures is the quote to order process which is part of quote to cash Work Flow ,this deck of slides or pictures is the quote to order process which is part of quote to cash Work Flow ,this deck of slides or pictures is the quote to order process which is part of quote to cash Work Flow ,,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,2,S001. About Scott Electric and Welcome to Training,S001. About Scott Electric and Welcome to Training,S001,About Scott Electric and Welcome to Training,/images/Ord2Pick/S001.png,,S002,,,,,"Scott Electric is a leading independent wholesale electrical distributor, serving electrical, mechanical, and general contractors, industrial customers, government agencies, and retail partners.","Scott Electric is a leading independent wholesale electrical distributor, serving electrical, mechanical, and general contractors, industrial customers, government agencies, and retail partners.","Scott Electric is a leading independent wholesale electrical distributor, serving electrical, mechanical, and general contractors, industrial customers, government agencies, and retail partners. The company provides a broad range of electrical products, lighting, tools, and related services to support both day-to-day operations and long-term projects.

Welcome to the Scott Electric Training SiteWelcome to the Scott Electric Training Site. This platform is designed to help you build the knowledge and skills needed to support our customers safely, accurately, and efficiently. Here you will find guided learning, reference materials, and role-based courses aligned with how we work every day — in sales, operations, service, administration, and support.Thank you for investing your time in training. Your commitment to learning and improvement is an important part of keeping Scott Electric strong, responsive, and customer-focused.",,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,3,S002.  Quote to Cash Work Flow At SE Electrical Distribution,S002. Quote to Cash Work Flow At SE Electrical Distribution,S002,Quote to Cash Work Flow At SE Electrical Distribution,/images/Ord2Pick/S002.png,,S003,,,,,This site is a typical Quote to cache representation in what is called a workflow,This site is a typical Quote to cache representation in what is called a workflow,This site is a typical Quote to cache representation in what is called a workflow This outlines the various steps performed by various swim lanes if you will or functional groups and provides a overall picture of how we end up serving our customers and continuing to keep our creed of customer comes first ,,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,4,S003.  Pictorial representation of  Quote to Cash  - At SE Electrical Distribution,S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution,S003,Pictorial representation of Quote to Cash,/images/Ord2Pick/S003.png,,M1,,,,,"This is the master slide for the Order to Pick process within the Quote to Cash Work Flow. It should be noted that these steps are performed by the Sales Personnel. The input to this starts when the customer indicates that they are ready accept a previously given quote or they send us a Purchase Order (PO) or they call into our sales force who always eager to assist them, the next step is S1. Where the sales person initiates / creates a new sales order by going to the menu, selecting sales , entry and sales order ",,,,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,5,M1.  Sales Order  to Pick SOP - At SE Electrical Distribution,M1. Sales Order to Pick SOP - At SE Electrical Distribution,M1,Sales Order to Pick SOP,/images/Ord2Pick/M1.png,,S1,,,,,"The first step in the process of initiating a sales order this then leads to the next step which is an SOP in its own right ""Enter Sales Order SOP""",,,,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,6,S1. Initiate Sales order - Sales Order  to Pick SOP,S1. Initiate Sales order - Sales Order to Pick SOP,S1,Initiate Sales order,/images/Ord2Pick/S1.png,,S2,,,,,"This is a SOP in itself as there are many ways to enter lines in a sales order starting with easy line entry, Shopping list entry etc",,,,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,7,S2. Enter Order Lines  - Sales Order  to Pick SOP,S2. Enter Order Lines - Sales Order to Pick SOP,S2,Enter Order Lines,/images/Ord2Pick/S2.png,,D1,,,,,Then decision needs to be taken if this order or customer has any Add on charges etc that need to be processed at this time. The quest that is asked is Are their no Add on's a yes answer indicated that there are no add on and No answer indicates that there are add ons,,,,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,8,D1. No  “Add-on’s” - Sales Order  to Pick SOP,"D1. No ""Add-on’s"" - Sales Order to Pick SOP",D1,No “Add-on’s” ? - Sales Order to Pick SOP,/images/Ord2Pick/D1.png,Are there no Add on to add to this order?,Y1,N1,,,,The user has Selected Yes to indicate that there are no Add ons to be processed for this order ,,,There are no add on for this order,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,9,Y1.  Yes - No Need  for “Add-on’s” - Sales Order  to Pick SOP,"Y1. Yes - No Need for ""Add-on’s"" - Sales Order to Pick SOP",Y1,Yes There are no add on for this order,/images/Ord2Pick/Y1.png,,S3,,,,,Since all other information has been entered prior to this step it is time to check the totals and review the  Taxes ,,,"Yes ""no COD Tendering"" - Sales Order to Pick SOP",,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,10,S3. Review Taxes and Totals  - Sales Order  to Pick SOP,S3. Review Taxes and Totals - Sales Order to Pick SOP,S3,Review Taxes and Totals,/images/Ord2Pick/S3.png,,D2,,,,,A decision has to be made whether this order is to billed on Account or if there is situation that it would be tendered or on Cash on Delivery basis. Hence the question No COD or Tendering needs to be asked and answered. A yes would indicate that this is not a tendered or COD sale. A no on the other hand would indicate that this order has to be processed as a tendered or COD Sale.,,,,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,11,D2. No COD tendering ? - Sales Order  to Pick SOP,D2. No COD tendering ? - Sales Order to Pick SOP,D2,No COD tendering ?,/images/Ord2Pick/D2.png,"This is an ""On Account Customer"" SO there is NO COD or Tendering ",Y2,N2,,,, Yes “no COD Tendering”,,,"Yes, it is a Blanket or Fulfillment Order - Sales Order to Pick SOP",,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,12,Y2. Yes “no COD Tendering”  - Sales Order  to Pick SOP,"Y2. Yes ""no COD Tendering"" - Sales Order to Pick SOP",Y2,"Yes ""no COD Tendering""",/images/Ord2Pick/Y2.png,,S4,,,,, Finish Sales Order ,,,"Yes, Sales Order is on Hold - Sales Order to Pick SOP",,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,13,S4. Finish Sales Order - Sales Order  to Pick SOP,S4. Finish Sales Order - Sales Order to Pick SOP,S4,Finish Sales Order,/images/Ord2Pick/S4.png,,D3,,,,,Decision if this is a blanket or Fulfillment order,,,,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,14,D3. Is it a blanket or Fulfillment Order ? - Sales Order  to Pick SOP,D3. Is it a blanket or Fulfillment Order ? - Sales Order to Pick SOP,D3,Is it a blanket or Fulfillment Order ?,/images/Ord2Pick/D3.png,Is this a blanket or Fulfillment Order?,Y3,N3,,,,Yes this is a fulfillment order,,,"Yes,  Credit Restored or COD or CC was accepted",,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,15,"Y3. Yes, it is a Blanket or Fulfillment Order  - Sales Order  to Pick SOP","Y3. Yes, it is a Blanket or Fulfillment Order - Sales Order to Pick SOP",Y3,"Yes, it is a Blanket or Fulfillment Order",/images/Ord2Pick/Y3.png,,S5,,,,,Create Blanket or Fulfillment order,,,,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,16,S5. Create Blanket or Fulfillment Order  - Sales Order  to Pick SOP,S5. Create Blanket or Fulfillment Order - Sales Order to Pick SOP,S5,Create Blanket or Fulfillment Order,/images/Ord2Pick/S5.png,,D4,,,,,Is the sale order on hold,,,,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,17,D4. Sales order on hold ? - Sales Order  to Pick SOP,D4. Sales order on hold ? - Sales Order to Pick SOP,D4,Sales order on hold ?,/images/Ord2Pick/D4.png,Is this Sales Order on Hold ?,Y4,N4,,,,Yes sales order is on hold ,,,,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,18,Y4. Sales Order is on Hold - Sales Order  to Pick SOP,Y4. Sales Order is on Hold - Sales Order to Pick SOP,Y4,Sales Order is on Hold,/images/Ord2Pick/Y4.png,,S6,,,,,Notify credit department to talk to customer and take action ,,,,,,,,,
SE_SLS_Ord2Pick_251121_1354.pptx,19,S6. Notification sent to Credit - Sales Order  to Pick SOP,S6. Notification sent to Credit - Sales Order to Pick SOP,S6,Notification sent to Credit,/images/Ord2Pick/S6.png,,D5,,,,,Was credit restored ?,,,,,,,,,
