SelectionTitle,Title,Code,Title_short,OPM_Step,Source_File,Source_Title,Step_narr_in,Code-OPM_S,Match_conf
| S000. Opening Slide for OPS Pick to Invoice Process Deck,S000. Opening Slide for OPS Pick to Invoice Process Deck,S000,Opening Slide for OPS Pick to Invoice Process Deck,,,,,P8,
S001. About Scott Electric and Welcome to Training,S001. About Scott Electric and Welcome to Training,S001,About Scott Electric and Welcome to Training,,,,,P9,0.917
S002. Quote to Cash Work Flow At SE Electrical Distribution,S002. Quote to Cash Work Flow At SE Electrical Distribution,S002,Quote to Cash Work Flow At SE Electrical Distribution,,,,,P10,0.929
S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution,S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution,S003,Pictorial representation of Quote to Cash,,,,,P11,0.933
M1. Pick to Invoice Process - At SE Electrical Distribution,M1. Pick to Invoice Process - At SE Electrical Distribution,M1,Pick to Invoice Process,,,,,PM,
S1. Pick ticket printed at Warehouse- At SE Electrical Distribution,S1. Pick ticket printed at Warehouse- At SE Electrical Distribution,S1,Pick ticket printed at Warehouse,,,,,P12,
S10. DQT Provides Delivery Confirmation - At SE Electrical Distribution,S10. DQT Provides Delivery Confirmation - At SE Electrical Distribution,S10,DQT Provides Delivery Confirmation,,,,,P13,
S11. Shipping feed needs to completed on this order - At SE Electrical Distribution,S11. Shipping feed needs to completed on this order - At SE Electrical Distribution,S11,Shipping feed needs to completed on this order,,,,,P14,
D1. Decision was there NO difference between Ordered vs pick verified - At SE Electrical Distribution,D1. Decision was there NO difference between Ordered vs pick verified - At SE Electrical Distribution,D1,Decision was there NO difference between Ordered vs pick verified,,,,,,
"Y1. Yes, There is no difference between Qqty ordered and Qty being shipped- At SE Electrical Distribution","Y1. Yes, There is no difference between Qqty ordered and Qty being shipped- At SE Electrical Distribution",Y1,"Yes, There is no difference between Qqty ordered and Qty being shipped",,,,,,
S2. Order Picked and Staged - At SE Electrical Distribution,S2. Order Picked and Staged - At SE Electrical Distribution,S2,Order Picked and Staged,,,,,P15,
D2. Decision Is Delivery Confirmation Required - At SE Electrical Distribution,D2. Decision Is Delivery Confirmation Required - At SE Electrical Distribution,D2,Decision Is Delivery Confirmation Required,,,,,,
"Y2. Yes, confirmation is not required - At SE Electrical Distribution","Y2. Yes, confirmation is not required - At SE Electrical Distribution",Y2,"Yes, confirmation is not required",,,,,,
S3. Verification and Packing (confirm ordered vs Shipped) - At SE Electrical Distribution,S3. Verification and Packing (confirm ordered vs Shipped) - At SE Electrical Distribution,S3,Verification and Packing (confirm ordered vs Shipped),,,,,P16,
S4. Shipping feedback with no change paper work in separate bin - At SE Electrical Distribution,S4. Shipping feedback with no change paper work in separate bin - At SE Electrical Distribution,S4,Shipping feedback with no change paper work in separate bin,,,,,P17,0.754
D3. Was everything OK on the Invoicing exception report - At SE Electrical Distribution,D3. Was everything OK on the Invoicing exception report - At SE Electrical Distribution,D3,Was everything OK on the Invoicing exception report,,,,,,
"Y3. Yes, Everything look OK - At SE Electrical Distribution","Y3. Yes, Everything look OK - At SE Electrical Distribution",Y3,"Yes, Everything look OK",,,,,,
S5. Customer Pickup or UPS Dispatch - At SE Electrical Distribution,S5. Customer Pickup or UPS Dispatch - At SE Electrical Distribution,S5,Customer Pickup or UPS Dispatch,,,,,P18,
S6. Run Pre-Invoice Exception report - At SE Electrical Distribution,S6. Run Pre-Invoice Exception report - At SE Electrical Distribution,S6,Run Pre,,,,,P19,
N3. No some exceptions were noted- At SE Electrical Distribution,N3. No some exceptions were noted- At SE Electrical Distribution,N3,No some exceptions were noted,,,,,,
S7. Run Invoice processing - At SE Electrical Distribution,S7. Run Invoice processing - At SE Electrical Distribution,S7,Run Invoice processing,,,,,P20,0.774
"N2. No, A Delivery confirmation is required - At SE Electrical Distribution","N2. No, A Delivery confirmation is required - At SE Electrical Distribution",N2,"No, A Delivery confirmation is required",,,,,,
S8. Go To Invoice to Cash Major SOP - At SE Electrical Distribution,S8. Go To Invoice to Cash Major SOP - At SE Electrical Distribution,S8,Go To Invoice to Cash Major SOP,,,,,P21,0.722
"N1. No, Order Qty or a whole line needs to be adjusted - At SE Electrical Distribution","N1. No, Order Qty or a whole line needs to be adjusted - At SE Electrical Distribution",N1,"No, Order Qty or a whole line needs to be adjusted",,,,,,
S9. Review and take appropriate action - At SE Electrical Distribution,S9. Review and take appropriate action - At SE Electrical Distribution,S9,Review and take appropriate action,,,,,P22,
S999. You have successfully completed this SOP,S999. You have successfully completed this SOP,S999,You have successfully completed this SOP,,,,,P23,0.911
,,,,P1,Pick2Inv_D1._Decision_was_there_NO_difference_between_Ordered_vs_pick_verified.xlsx,Pick2inv D1. Decision Was There NO Difference Between Ordered Vs Pick Verified,D1. Decision was there NO difference between Ordered vs pick verified,,
,,,,P2,Pick2Inv_D2._Decision_Is_Delivery_Confirmation_Required.xlsx,Pick2inv D2. Decision Is Delivery Confirmation Required,D2. Decision Is Delivery Confirmation Required,,
,,,,P3,Pick2Inv_D3._Was_everything_OK_on_the_Invoicing_exception_report.xlsx,Pick2inv D3. Was Everything OK On The Invoicing Exception Report,D3. Was everything OK on the Invoicing exception report,,
,,,,P4,Pick2Inv_M1._Pick_to_Invoice_Process_-_At_SE_Electrical_Distribution.xlsx,Pick2inv M1. Pick To Invoice Process At SE Electrical Distribution,"M1. Pick to Invoice Process - At SE Electrical Distribution — Overview When the Pick Ticket for a sales order is printed, the stage of the sales order is advanced to the Picked stage. Pick Tickets can be manually printed, or If TWL is being used in the warehouse, the order would be dropped to TWL to be pulled. In a standard paper-style warehouse, the Pick Ticket would be printed in the warehouse for the warehouse personnel to pull. In a standard paper-style warehouse, the Pick Ticket is the primary document the warehouse staff follow when pulling material. The Pick Ticket should include the recommended quantity to pick, the Ship Quantity, the Unit of Measure associated with that quantity, and the Bin Location(s) where the product(s) can be found in the warehouse. Additional information is available including product description information, UPC data, and Pricing information if desired. The warehouse staff will mark the quantity pulled for each line of the order, including any necessary Lot or Serial # information, and initial the picked to confirm they were the person responsible for pulling that order. After the Picking process has been completed, the shipping department should verify the order has been picked correctly, and initial the pick ticket. The material is then packaged for shipment, and any necessary shipping or carton labels can be printed. Once the order has been verified and packed, the Shipping Feedback process should be completed by the shipping department or an office clerk to update the order with the actual quantities shipped, any required Lot or Serial # information, and to apply any relevant Addon charges for freight, handling or other misc. fees. A number of shipping documents can be generated from CSD, including a Packing List, Delivery Document, Bill of Lading, and Commercial Invoice. Most distributors perform Invoicing as a standard scheduled process that runs each evening; however, it is not uncommon for exceptions to occur during the invoicing process that can prevent a few orders from being properly invoiced. There are a myriad of exceptions that can occur on different orders; however, a few common reasons are: On Hand < Qty Shipped, related PO or Transfer not received, Order on Hold, etc... The Pre-Invoicing exception report allows you to identify orders with exceptions so you can take the appropriate action to resolve the exception condition before the nightly scheduled invoicing process. Any unresolved or new exceptions that exist at the time of Invoicing will prevent the order from moving from the Shipped Stage to the Invoiced Stage, and an Exception report will be generated listing all orders that failed to Invoice. Customer Invoices can be set to the customer automatically based on Invoice Ecomm settings on the Customer and Ship To Setup records. Invoices, as well as Acknowledgements & Statements, can be sent via email, fax, USPS (paper), or through the EDI process. Additional Customer email address information set up in the Contacts Contextual App can be leveraged to allow for multiple email recipients.",,
,,,,P5,Pick2Inv_N1._No_Order_Qty_or_a_whole_line_needs_to_be_adjusted.xlsx,Pick2inv N1. No Order Qty Or A Whole Line Needs To Be Adjusted,"N1. No, Order Qty or a whole line needs to be adjusted",,
,,,,P6,Pick2Inv_N2._No_A_Delivery_confirmation_is_required.xlsx,Pick2inv N2. No A Delivery Confirmation Is Required,"N2. No, A Delivery confirmation is required",,
,,,,P7,Pick2Inv_N3._No_some_exceptions_were_noted-.xlsx,Pick2inv N3. No Some Exceptions Were Noted,N3. No some exceptions were noted-,,
,,,,P8,Pick2Inv_S000._Opening_Slide_for_Sales_Order_Line_Entry_Deck.xlsx,Pick2inv S000. Opening Slide For Sales Order Line Entry Deck,S000. Opening Slide for Sales Order Line Entry Deck — this deck of slides or pictures is the quote to order process which is part of quote to cash Work Flow,,
