Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,match_code_OPM,OPM_Step,Source_Title,Narr1,Narr2,Narr3,Disp_next1,Disp_next2,Disp_next3,UAP url,UAP Label,start_here,Mismatch,Entity,Function,SubEntity,SOP_id,SOP_path
SE_SLS_Q2Ord_251113_1613.pptx,1,S000. Opening Slide to the Quote to Sales Order Slide deck,S000. Opening Slide to the Quote to Sales Order Slide deck,S000,Opening Slide to the Quote to Sales Order Slide deck,S000.png,,S001,,,P4,Overall Quote To sales Order this deck of slides or pictures is the quote to order process which is part of quote to cash Work Flow ,this deck of slides or pictures is the quote to order process which is part of quote to cash Work Flow ,this deck of slides or pictures is,this deck of slides or pictures is the quote to order process which is part of quote to cash Work Flow ,About Scott Electric and Welcome to Training,,,,,Y,,SE,Sales,Quo2Ord,Quo2Ord, SOP/images/SE/Distro/Quo2Ord
SE_SLS_Q2Ord_251113_1613.pptx,2,S001. About Scott Electric and Welcome to Training,S001. About Scott Electric and Welcome to Training,S001,About Scott Electric and Welcome to Training,S001.png,,S002,,,,,Scott Electric is a leading independent wholesale electrical distributor,"Scott Electric is a leading independent wholesale electrical distributor, serving electrical, mechanical, and general contractors, industrial customers, government agencies, and retail partners.","Scott Electric is a leading independent wholesale electrical distributor, serving electrical, mechanical, and general contractors, industrial customers, government agencies, and retail partners. The company provides a broad range of electrical products, lighting, tools, and related services to support both day-to-day operations and long-term projects.

Welcome to the Scott Electric Training SiteWelcome to the Scott Electric Training Site. This platform is designed to help you build the knowledge and skills needed to support our customers safely, accurately, and efficiently. Here you will find guided learning, reference materials, and role-based courses aligned with how we work every day — in sales, operations, service, administration, and support.Thank you for investing your time in training. Your commitment to learning and improvement is an important part of keeping Scott Electric strong, responsive, and customer-focused.",Sales to Cash Work Flow At SE Electrical Distribution,,,,,N,,SE,Sales,Quo2Ord,Quo2Ord,SOP/images/SE/Distro/Quo2Ord
SE_SLS_Q2Ord_251113_1613.pptx,3,S002.  Sales to Cash Work Flow At SE Electrical Distribution,S002. Sales to Cash Work Flow At SE Electrical Distribution,S002,Sales to Cash Work Flow At SE Electrical Distribution,S002.png,,S003,,,,,This site is a typical Quote to Cash representation in what is called a workflow,This site is a typical Quote to Cash representation in what is called a workflow,This site is a typical Quote to Cash representation in what is called a workflow This outlines the various steps performed by various swim lanes if you will or functional groups and provides a overall picture of how we end up serving our customers and continuing to keep our creed of customer comes first ,Pictorial representation of Quote to Cash,,,,,N,,SE,Sales,Quo2Ord,Quo2Ord,SOP/images/SE/Distro/Quo2Ord
SE_SLS_Q2Ord_251113_1613.pptx,4,S003.  Pictorial representation of  Quote to Cash  - At SE Electrical Distribution,S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution,S003,Pictorial representation of Quote to Cash,S003.png,,M1,,,,, The  Quote to Cash at Scott Electric ,This slide is aptly named The Pictorial Representation of Quote to Cash at Scott Electric ,"This slide is aptly named The Pictorial Representation of Quote to Cash at Scott Electric the distribution business 
While this light is the precursor to the focused area of Quote to cache the picture shows how the various phases within that task is directly or indirectly affecting other components within the system for example an inventory is consumed the inventory has to be replenished and that is done by the procure to pay cycle Similarly because a sales occurred there has to be accounting for the sale and also at the end of the day collection of the payment against the invoice so hence that goes into the financial side of the impact now because inventory is being both consumed replenished and in some cases being procured and directly shipped to the customer that has a direct impact on how the inventory is managed within the system ",Quote to Sales Order SOP,,,,,N,,SE,Sales,Quo2Ord,Quo2Ord,SOP/images/SE/Distro/Quo2Ord
SE_SLS_Q2Ord_251113_1613.pptx,5,M1.  Quote to Sales Order SOP - At SE Electrical Distribution,M1. Quote to Sales Order SOP - At SE Electrical Distribution,M1,Quote to Sales Order SOP,M1.png,,S1,,,,,This slide represent,This slide represents the master slide for this SO or standard o,This slide represents the master slide for this SO or standard operating procedure and as you know the workflow leads to multiple Sops which in turn may have sub Sops or Opms under them and the reason for that is some tasks or some functions are very complex and hence have to be broken into smaller parts and those parts are broken into the basic building block which is the Operations Procedure Manual OPM It should also be noted that there is a yellow block with a redefined process symbol when it has a yellow block with a predefined process that is 2 parallel vertical lines on the outer edges of the box it represents a sub SOP as I mentioned earlier this is a classic example for such a process or a such ace SOP having multiple or one at least sub SOP thank you  ,Initiate Quote,,,,,N,,SE,Sales,Quo2Ord,Quo2Ord,SOP/images/SE/Distro/Quo2Ord
SE_SLS_Q2Ord_251113_1613.pptx,6,S1.  Initiate Quote – SE Quote to Sales Order SOP,S1. Initiate Quote - SE Quote to Sales Order SOP,S1,Initiate Quote,S1.png,,S2,,,P3,O2 Enter A Quote Order,This process actuall,This process actually starts outside the info system i,This process actually starts outside the info system in the real world where a customer either sends in an RFQ or requests for quote or calls in in some cases even sends an email with an excel requesting a quote All these actions basically lead to the creation or initiation of a court That step is called Initiate Quote. In this step the operator enters the customer name or selects it from the dropdown also selects the fact that this is a quote and not a stock order or any other kind of order Then they enter all other pertinent information needed to create or initiate at which time when the when the operator its next a quote number is generated ,Enter Quote lines,,,https://scottelectricusa.uap.infor.com/#/content/6785e58f-4eac-4acb-9921-e49d52f33db9?contextId=a1856482-743b-42ae-9935-0b1dd402a198,Initiate Quote,N,,SE,Sales,Quo2Ord,Quo2Ord,SOP/images/SE/Distro/Quo2Ord
SE_SLS_Q2Ord_251113_1613.pptx,7,S2.  Enter Quote lines – SE Quote to Sales Order SOP,S2. Enter Quote lines - SE Quote to Sales Order SOP,S2,Enter Quote lines,S2.png,,S3,,,,,Having created or op,Having created or opened a quote the next most importan,Having created or opened a quote the next most important thing is The next most important thing is to enter the lines that the customer needs added to the quote so it requires there are multiple ways of entering the line items but let's assume that no matter what at the end of the day one has to select a product and once they've entered the product they need to select the quantity needed at which time they need to see if it is available and there is part of that screen also allows the sales order entry person to basically look for availability of that inventory within the company but in a different warehouse then the standard warehouse for that customer ,Enter Quote lines,,,https://scottelectricusa.uap.infor.com/#/content/f97aa974-919d-4d99-9636-744790f472cc?contextId=a1856482-743b-42ae-9935-0b1dd402a198,Enter Quote lines,N,,SE,Sales,Quo2Ord,Quo2Ord,SOP/images/SE/Distro/Quo2Ord
SE_SLS_Q2Ord_251113_1613.pptx,8,S3.  Enter Quote lines – SE Quote to Sales Order SOP,S3. Taxes and Totals - SE Quote to Sales Order SOP,S3,Review Taxes and totals,S3.png,,S4,,,P5,Review Taxes And Totals Etc For An Order,Once all the lines w,Once all the lines were entered the next most ,Once all the lines were entered the next most important thing is to verify that the totals matched what was expected also to make sure that the tax for all the lines are being calculated at the rate levels because depending upon the destination or the source depending also upon which bounty within which state the taxes change there are other implications too Taxes change based on product and the customer having a exemption certificate because they're working on a particular kind of project which gives them tax relief So this is a very critical step ,Apply Add on and Charges,,,https://scottelectricusa.uap.infor.com/#/content/400caab5-7e35-448a-be7c-909185738de7?contextId=75e632cb-d762-4392-8959-2fbb9f6b8135,Part of Quote entry,N,,SE,Sales,Quo2Ord,Quo2Ord,SOP/images/SE/Distro/Quo2Ord
SE_SLS_Q2Ord_251113_1613.pptx,9,S4.  Apply Add on  and  Charges– SE Quote to Sales Order SOP,S4. Apply Add on and Charges- SE Quote to Sales Order SOP,S4,Apply Add on and Charges,S4.png,,S41,,,,,As no two orders are,As no two orders are the ,As no two orders are the same and the situation of the delivery may have various implications for example the customer may need the product shipped overnight via UPS or Fedex or something else Those are typically charges that are build back to the customer and this is this place where you apply add ONS ,S4a. Send Quote and await response,,,https://scottelectricusa.uap.infor.com/#/content/5e9599ca-e8d8-4b25-876e-27366fc37a80?contextId=cbe12a59-3f7b-42ba-bdb5-154e5ba42eab,Apply add on notes,N,,SE,Sales,Quo2Ord,Quo2Ord,SOP/images/SE/Distro/Quo2Ord
SE_SLS_Q2Ord_251113_1613.pptx,10,S4a.  Send Quote and await response – SE Quote to Sales Order SOP,S4a. Send Quote and await response - SE Quote to Sales Order SOP,S41,S4a. Send Quote and await response,S41.png,,D1,,,,, Having created the , Having created the quote, Having created the quote entered the lines entered the taxes and any other additional charges it is now time to do one quick check to make sure that everything is as discussed with the customer and meets the customer's requirements Then it's now time to ship this port or send the Quote to the customer ,Status of the Quote,,,,,N,,SE,Sales,Quo2Ord,Quo2Ord,SOP/images/SE/Distro/Quo2Ord
