OPM_Step,Source_File,Source_Title,Step_narr_in
P1,A17 Convert Estimate To SRO..xlsx,A17 Convert Estimate To SRO.,"How to convert an Estimate to an SRO Navigate to Service Orders Screen: Form-->Open-->Service Orders-->OK Click on drop down for Status Field and select Estimate from drop down Select the Funnel, filter in place, from the toolbar. Service Order Screen From listed estimates on left select the estimate to be converted to an Open SRO by clicking on Estimate Number Click on the Aprove SRO Estimate button Right side of Service Order Screen Enter the person that approved the estimate Click Ok Click OK"
P2,AA3_ADDING TRANSACTIONS TO AN SRO_TS.xlsx,AA3 ADDING TRANSACTIONS TO AN SRO TS,"ADD TRANSACTIONS TO AN SRO ISM FROM THE SERVICE ORDER SCREEN CLICK THE FIP FUNNEL SERVICE ORDER SCREEN SELECT THE SRO CLICK SRO TRANSACTIONS CLICK THE BUBBLE FOR PLANNED TRANSACTIONS SCREEN CLICK PLANNED MATERIAL, SEARCH AND ADD AN ITEM, MAKE SURE IT HAS OPERATION 10 WILL GO WITH MATERIAL OPER. 10 IS MATERIAL, OPER. 20 IS LABOR, OPER 30 IS MISC. SELECT JEANETTE FROM THE DEPT. DROP DOWN WHAT BRANCH ARE YOU IN JEANETTE OR WINFIELD ENTER THE QUANTITY HOW MANY MIGHT YOU NEED. WHEN POSTING THIS NUMBER CAN BE CHANGED CLICK THE PLUS TO ADD MORE MATERIAL TRANSACTIONS IS THERE MORE THAN ONE MATERIAL NEEDED? CLICK SAVE ADD THE WORK CODE FROM THE DROP DOWN OPERARTION 20 WILL BE LABOR OPER. 10 IS MATERIAL, OPER. 20 IS LABOR, OPER 30 IS MISC. SELECT JEANETTE FROM THE DEPT. DROP DOWN WHAT BRANCH ARE YOU IN JEANETTE OR WINFIELD TYPE THE PLANNED HOURS FOR THIS WORK CODE THIS IS PLANNED TIME, IT CAN BE CHANGED AT THE TIME OF POSTING CLICK THE PLUS TO ADD MORE LABOR TRANSACTIONS IF THERE IS TRAVEL THAT WILL BE ANOTHER TRANSACTION CLICK SAVE"
P3,AA4_SCHEDULE NEW_TS.xlsx,AA4 SCHEDULE NEW TS,"SCHEDULE AN SRO SERVICE DEPT ISM SERVICE DEPT FROM THR SERVICE ORDER SCREEN SERVICE DEPT CLICK THE FIP FUNNEL SERVICE ORDER SCREEN SERVICE DEPT CLICK THE SRO SERVICE DEPT CHECK THE BOX FOR TO BE SCHEDULED SERVICE DEPT CLICK SAVE SERVICE DEPT CLICK SCHEDULE SERVICE DEPT USING THE DROP DOWN SELECT THE PRATNER(TECH) IN THE PARTNER SELECT FIELD CALENDAR SCHEDULING SCREEN SERVICE DEPT CLICK TO BE SCHEDULED SERVICE DEPT CLICK REFRESH (CIRCLE ARROW) SERVICE DEPT CLICK AND DRAG THE SRO TO THE DAY AND TIME YOU NEED IT SCHEULED SERVICE DEPT ENTER THE ESTIMATED HOURS, AD ANY NOTES FOR THE TECH SERVICE DEPT CLICK COMMIT IF AN APPOINTMENT CHANGHES THE BOX FOR THAT APPOINTMENT CAN BE DRUG TO ANOTHER DAY/TIME FRAME."
P4,ADDING LINES OPM.xlsx,ADDING LINES OPM,"FROM THE SERVICE ORDER SCREEN ADDING LINES CLICK SRO LINES SERVICE ORDER SCREEN IN THE ITEM TEXT BOX SEARCH FOR AN *ITEM NUMBER* SRO LINES SCREEN IF THIS IS NOT A KOHLER GENERATOR. TYPE THE MODEL NUMBER AND SERIAL NUMBER IN THE ITEM AND UNIT FIELD. THIS WILL PROPMT CREATION OF A NEW ITEM/UNIT. DO NOT CHANGE THE ITEM VALUE. SAVE AND CLICK OK ON UNITS SCREEN. TO RETURN TO SRO LINES SCREEN SELECT THE SERIAL NUMBER FROM THE UNITS DROP DOWN IF THE SERIAL NUMBER HAS NOT BEEN SERVICED CLICK OK TO CREATE THE UNIT. SAVE THE UNIT AND CLICK OK TO RETURN TO THE SRO LINES SCREEN CHANGE QTY TO 1 IN THE QTY FIELD IF ADDITIONAL LINES ARE NEEDED, SELECT THE + IN TOP LEFT TO ADD MORE LINES; IF ALL LINES ARE CREATED, EXIT OUT OF SERVICE ORDER LINES (small x in top right corner) ***IF MULT LINES ARE ADDED OPERATIONS WILL NEED ADDED FOR EACH LINE. SEE ADDING OPERATIONS PROCCESS CLICK SAVE EXIT SRO LINES SCREEN GO TO COLUMN I"
P5,ADDING OPERATIONS OPM.xlsx,ADDING OPERATIONS OPM,ADDING OPERATIONS FROM THE SERVICE ORDER SCREEN YOU SHOULD ONLY HAVE TO ADD OPERATIONS IF YOU ARE SERVICING 2 ITEMS ON ONE SERVICE CALL CLICK SRO OPERATIONS SERVICE ORDER SCREEN CLICK THE ADD NEW BUTTON SRO OPERATION SCREEN CHANGE THE LINE DROP DOWN TO 2 CREATE OPERATION 10 TROUBLE SERVICE SELECT THE OPERATION CODE TRB AND DESCRIPTION TROUBLE SERVICE PARTS CLICK THE ADD NEW BUTTON CHANGE THE LINE DROP DOWN TO 2 CREATE OPERATION 2O TROUBLE SERVICE SELECT THE OPERATION CODE TRB AND DESCRIPTION TROUBLE SERVICE LABOR CLICK THE ADD NEW BUTTON CHANGE THE LINE DROP DOWN TO 2 CREATE OPERATION 30 TROUBLE SERVICE SELECT THE OPERATION CODE TRB AND DESCRIPTION TROUBLE SERVICE MISC CLICK SAVE GO TO COLUMN I
P6,C03_AA15_Create_SRO_Estimate_06172025_1307_TD.xlsx,C03 AA15 Create SRO Estimate 06172025 1307 TD,"How to create an SRO Estimate Navigate to Quick Create Screen Form->OpenService Orders Select the funnel, filter in place, from the tool bar. Service Order Screen Select Quick Create top button on the right side In Service Order Options section, From SRO Status Field, select estimate from drop down Quick SRO Create Screen In Service Order Options section, From the SRO Template Field, select T&M (Time and Material) from drop down. In Customer Information section, enter customer number (In this example, enter *1059*) Select PIC Electric from drop down. Click OK. Pop up screen confirms your assigned SRO number for this estimate. (J indicates Jeannette, W indicates WV) Clik OK."
P7,CLOSE SRO_TS.xlsx,CLOSE SRO TS,1 CLOSE SRO From the Service Order Screen Click Filter In Place Icon At Top Left Of Service Order Screen To List SROs Scroll List On Left Side Of Screen And Click On SRO That Is To Be Closed Click On Close SRO Button Confirm Chosen SRO To Close Is Displayed In Both The Starting And Ending SRO Fields. With the preview button selected click proccess Select the commit buble Click proccess SRO Status Change To Closed Is Displayed At The Bottom Of The Service Order Close Utility Screen
P8,Call Backs Revised.xlsx,Call Backs Revised,"How to create Call Back SRO Navigate to Service Orders Screen Form->OpenService Orders Select the funnel, filter in place, from the tool bar. Service Order Screen Select Which Service Order needs a call back from the left side Click Generate Callback SRO button on the right side Verify the Create As a Callback SRO box is checked Quick SRO Create Screen Click OK Under Material Substitution uncheck the Selected box Click Save Icon in upper left of screen Click OK Confirm the Callback box is checked on the Service Orders Screen Service Order Screen Will give you a prior SRO number to reference at the bottom right"
P9,Create Incident ISM (6).xlsx,Create Incident ISM (6),"Creating an Incident Only Navigate to Incidents Screen Form->Open->Incidents Select the funnel, filter in place, from the tool bar. Incident Screen Select Quick Create from box on the right side. Enter Customer name Quick Incident Create Screen Enter phone number Enter a description of why the customer is calling. Click OK."
P10,Incident to SRO.xlsx,Incident To SRO,Incident to SRO From the incident screen click the funnel to filter Incdients screen Select the incident you desire to turn into SRO Click the status tab (middle of screen) Click the reference drop down Select SRO Save Click xref
