OPM_Step,Source_File,Source_Title,Step_narr_in,Step_narr_m_in,Step_narr_out,Step_narr_out_simple,Step_narr_m_out,Step_narr_m_out_simple
P1,ShipFB_D1._Qty_the_product_need_a_Physical_due_available_shortage.xlsx,D1. Qty The Product Need A Physical Due Available Shortage,D1. Qty the product need a Physical due available shortage-As the Qty shipped was less than the ordered Qty does the product need a Physical,,D1. Qty the product need a Physical due available shortage-As the Qty shipped was less than the ordered Qty does the product need a Physical,D1. Qty the product need a Physical due available shortage. As the Qty shipped was less than the ordered Qty does the product need a Physical.,,
P2,ShipFB_D2._Is_this_a_lot_or_Serialized_item_-.xlsx,D2. Is This A Lot Or Serialized Item,D2. Is this a lot or Serialized item ?--If an item is serialized shipping feed back is action in the systems which is used to record the Serail number numbers for the product . Similarly if the product is a lot controlled item the lot number has to be selected.,,D2. Is this a lot or Serialized item ?--If an item is serialized shipping feed back is action in the systems which is used to record the Serail number numbers for the product . Similarly if the product is a lot controlled item the lot number has to be selected.,D2. Is this a lot or Serialized item ?-. If an item is serialized shipping feed back is action systems which is used to record the Serail number numbers. Similarly if the product is a lot controlled item the lot number has to be selected.,,
P3,ShipFB_M1._Shipping_Feed_Back.xlsx,M1. Shipping Feed Back,"M1. Shipping Feed Back-This is a classic sub sop Function acronym: OEES Use this function to ship orders and vendor returns, and modify orders that have been picked from the warehouse and require changes. If you know the order number to ship, you can use the Quick Ship feature. You can perform these tasks in Sales Shipping Feedback Entry: Change order addons, quantity shipped, serial numbers, and lot numbers Automatically fill outstanding backorders Ship all line items on the order Print pick tickets and invoices on demand Change regular orders You cannot cancel or delete an order in Sales Shipping Feedback Entry. These options are available on the main page or the Quick Ship page: Reserve Split to Back Order Shipping notifications Ship Unship To view header and line item detail, click the right arrow to open the order record.",,"M1. Shipping Feed Back-This is a classic sub sop Function acronym: OEES Use this function to ship orders and vendor returns, and modify orders that have been picked from the warehouse and require changes. If you know the order number to ship, you can use the Quick Ship feature. You can perform these tasks in Sales Shipping Feedback Entry: Change order addons, quantity shipped, serial numbers, and lot numbers Automatically fill outstanding backorders Ship all line items on the order Print pick tickets and invoices on demand Change regular orders You cannot cancel or delete an order in Sales Shipping Feedback Entry. These options are available on the main page or the Quick Ship page: Reserve Split to Back Order Shipping notifications Ship Unship To view header and line item detail, click the right arrow to open the order record.","M1. Shipping Feed Back. This is a classic sub sop Function acronym: OEES Use this function to ship orders and vendor returns, and modify. If you know the order number to ship, you can Quick Ship feature. You can perform these tasks in Sales Shipping Feedback Entry:. Change order addons, quantity shipped, serial numbers, and lot numbers Automatically fill outstanding backorders Ship all line items order Print. Pick tickets and invoices on demand. Change regular orders You cannot cancel or delete an order in Sales Shipping Feedback Entry. These options are available main page or the Quick Ship page: Reserve Split to Back Order Shipping notifications Ship Unship. Click the right arrow to. Open the order record.",,
P4,ShipFB_N1._No_a_physical_count_is_not_warranted.xlsx,N1. No A Physical Count Is Not Warranted,"N1. No, a physical count is not warranted-As the Customer is picking up at the counter there is no additional shipping confirmation requirement",,"N1. No, a physical count is not warranted-As the Customer is picking up at the counter there is no additional shipping confirmation requirement","N1. No, a physical count is not warranted. As the Customer is picking up counter there is no additional shipping confirmation requirement.",,
P5,ShipFB_N2._No_this_is_not_a_Sterilized_or_lotted_item.xlsx,N2. No This Is Not A Sterilized Or Lotted Item,"N2. No, this is not a Sterilized or lotted item-This item these items are not serialized or lotted",,"N2. No, this is not a Sterilized or lotted item-This item these items are not serialized or lotted","N2. No, this is not a Sterilized or lotted item. This item these items are not serialized or lotted.",,
P6,ShipFB_S000._Opening_Slide_for_Sales_Order_Line_Entry_Deck.xlsx,S000. Opening Slide For Sales Order Line Entry Deck,S000. Opening Slide for Sales Order Line Entry Deck-this deck of slides or pictures is the quote to order process which is part of quote to cash Work Flow,,S000. Opening Slide for Sales Order Line Entry Deck-this deck of slides or pictures is the quote to order process which is part of quote to cash Work Flow,S000. Opening Slide for Sales Order Line Entry Deck. This deck of slides or pictures is the quote to order process which is part of quote to cash Work.,,
P7,ShipFB_S001._About_Scott_Electric_and_Welcome_to_Training.xlsx,S001. About Scott Electric And Welcome To Training,"S001. About Scott Electric and Welcome to Training-Scott Electric is a leading independent wholesale electrical distributor, serving electrical, mechanical, and general contractors, industrial customers, government agencies, and retail partners. The company provides a broad range of electrical products, lighting, tools, and related services to support both day-to-day operations and long-term projects. Welcome to the Scott Electric Training Site_x000B_Welcome to the Scott Electric Training Site. This platform is designed to help you build the knowledge and skills needed to support our customers safely, accurately, and efficiently. Here you will find guided learning, reference materials, and role-based courses aligned with how we work every day-in sales, operations, service, administration, and support._x000B_Thank you for investing your time in training. Your commitment to learning and improvement is an important part of keeping Scott Electric strong, responsive, and customer-focused.",,"S001. About Scott Electric and Welcome to Training-Scott Electric is a leading independent wholesale electrical distributor, serving electrical, mechanical, and general contractors, industrial customers, government agencies, and retail partners. The company provides a broad range of electrical products, lighting, tools, and related services to support both day-to-day operations and long-term projects. Welcome to the Scott Electric Training Site_x000B_Welcome to the Scott Electric Training Site. This platform is designed to help you build the knowledge and skills needed to support our customers safely, accurately, and efficiently. Here you will find guided learning, reference materials, and role-based courses aligned with how we work every day-in sales, operations, service, administration, and support._x000B_Thank you for investing your time in training. Your commitment to learning and improvement is an important part of keeping Scott Electric strong, responsive, and customer-focused.","S001. About Scott Electric and Welcome to Training. Scott Electric is a leading independent wholesale electrical distributor, serving electrical, mechanical, and general contractors, industrial customers, government agencies, and. The company provides a broad range of electrical products, lighting, tools, and related services to support both day-to-day operations and. Welcome to the Scott Electric Training Site_x000B_Welcome to the Scott Electric Training Site. This platform is designed to help you build the knowledge and skills needed to support our customers safely, accurately, and. Here you will find guided learning, reference materials, and role-based courses aligned with how we work every day. In sales, operations, service, administration, and support._x000B_Thank you for investing your time in training. Your commitment to learning and improvement is an important part of keeping Scott Electric strong, responsive, and customer-focused.",,
P8,ShipFB_S002._Quote_to_Cash_Work_Flow_At_SE_Electrical_Distribution.xlsx,S002. Quote To Cash Work Flow At SE Electrical Distribution,S002. Quote to Cash Work Flow At SE Electrical Distribution-This site is a typical Quote to cache representation in what is called a workflow This outlines the various steps performed by various swim lanes if you will or functional groups and provides a overall picture of how we end up serving our customers and continuing to keep our creed of customer comes first,,S002. Quote to Cash Work Flow At SE Electrical Distribution-This site is a typical Quote to cache representation in what is called a workflow This outlines the various steps performed by various swim lanes if you will or functional groups and provides a overall picture of how we end up serving our customers and continuing to keep our creed of customer comes first,S002. Quote to Cash Work Flow At SE Electrical Distribution. This site is a typical Quote to cache representation in what is called a workflow This outlines the various steps.,,
P9,ShipFB_S003._Pictorial_representation_of_Quote_to_Cash_-_At_SE_Electrical_Distribution.xlsx,S003. Pictorial Representation Of Quote To Cash At SE Electrical Distribution,S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution-This slide is aptly named The Pictorial Representation of Quote to Cash at Scott Electric the distribution business While this light is the precursor to the focused area of Quote to cache the picture shows how the various phases within that task is directly or indirectly affecting other components within the system for example an inventory is consumed the inventory has to be replenished and that is done by the procure to pay cycle Similarly because a sales occurred there has to be accounting for the sale and also at the end of the day collection of the payment against the invoice so hence that goes into the financial side of the impact now because inventory is being both consumed replenished and in some cases being procured and directly shipped to the customer that has a direct impact on how the inventory is managed within the system,,S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution-This slide is aptly named The Pictorial Representation of Quote to Cash at Scott Electric the distribution business While this light is the precursor to the focused area of Quote to cache the picture shows how the various phases within that task is directly or indirectly affecting other components within the system for example an inventory is consumed the inventory has to be replenished and that is done by the procure to pay cycle Similarly because a sales occurred there has to be accounting for the sale and also at the end of the day collection of the payment against the invoice so hence that goes into the financial side of the impact now because inventory is being both consumed replenished and in some cases being procured and directly shipped to the customer that has a direct impact on how the inventory is managed within the system,S003. Pictorial representation of Quote to Cash. At SE Electrical Distribution. This slide is aptly named The Pictorial Representation of Quote to Cash at Scott Electric the distribution business While this.,,
P10,ShipFB_S1._Enter_or_search_for_Order.xlsx,S1. Enter Or Search For Order,"S1. Enter or search for Order#-Sales > Entry > Order Function acronym: OEET Use this function to import an Excel spreadsheet to create stock orders and quote orders. After you import the information from the spreadsheet, you can review and edit the information before you submit the orders. To import information and automatically create the orders, you must use a specific spreadsheet format. If you do not use the correct format, the import is invalid. See Creating sales orders from an Excel spreadsheet and Excel spreadsheet formatting for sales orders. Use this tab to review about sales order totals and related information such as key order dates, discounts and terms, and addons. You can also review this information: A signature, if one was captured in Sales Order Entry when the order was placed or on a handheld device when the order was delivered . The operator ID and date of the last change to the order. If enabled, static information that is related to National Program functionality is displayed in the Order Totals section. Addon descriptions and amounts are displayed if there are more than four addons on the order.",,"S1. Enter or search for Order#-Sales > Entry > Order Function acronym: OEET Use this function to import an Excel spreadsheet to create stock orders and quote orders. After you import the information from the spreadsheet, you can review and edit the information before you submit the orders. To import information and automatically create the orders, you must use a specific spreadsheet format. If you do not use the correct format, the import is invalid. See Creating sales orders from an Excel spreadsheet and Excel spreadsheet formatting for sales orders. Use this tab to review about sales order totals and related information such as key order dates, discounts and terms, and addons. You can also review this information: A signature, if one was captured in Sales Order Entry when the order was placed or on a handheld device when the order was delivered . The operator ID and date of the last change to the order. If enabled, static information that is related to National Program functionality is displayed in the Order Totals section. Addon descriptions and amounts are displayed if there are more than four addons on the order.","S1. Enter or. Search for Order#. Sales > Entry > Order Function acronym: OEET Use this function to import an Excel spreadsheet to create stock orders. After you import the information spreadsheet, you can review and edit the information before you submit the orders. To import information and automatically create the orders, you must use a specific spreadsheet format. If you do not correct format, the import is invalid. See Creating sales orders from an Excel spreadsheet and Excel spreadsheet formatting for sales orders. Use this to review about sales. You can also review this information: A signature, if one was captured in Sales Order Entry when the order was. The operator ID and date of the last. Change to the order. If enabled, static information that is related to National Program functionality is displayed Order Totals. Addon descriptions and amounts are displayed if there are more than four addons order.",,
