OPM_Step,Source_File,Source_Title,Step_narr_in,Step_narr_m_in,Step_narr_out,Step_narr_out_simple,Step_narr_m_out,Step_narr_m_out_simple
P1,StartUp_About_Palco_Power_Systems_and_Scott_Electric_and_a_Welcome_to_Training.xlsx,Startup About Palco Power Systems And Scott Electric And A Welcome To Training,About Palco Power Systems and Scott Electric and a Welcome to Training,,About Palco Power Systems and Scott Electric and a Welcome to Training,About Palco Power Systems and Scott Electric and a Welcome to Training.,,
P2,StartUp_Add_Lines.xlsx,Startup Add Lines,Add Lines,,Add Lines,Add Lines.,,
P3,StartUp_Add_Startup_Notes.xlsx,Startup Add Startup Notes,Add Startup Notes,,Add Startup Notes,Add Startup Notes.,,
P4,StartUp_Assigned_Tech_Performs_Start.xlsx,Startup Assigned Tech Performs Start,Assigned Tech Performs Start,,Assigned Tech Performs Start,Assigned Tech Performs Start.,,
P5,StartUp_Create_Chargeable_SRO.xlsx,Startup Create Chargeable SRO,Create Chargeable SRO,,Create Chargeable SRO,Create Chargeable SRO.,,
P6,StartUp_Create_New_Unit.xlsx,Startup Create New Unit,Create New Unit,,Create New Unit,Create New Unit.,,
P7,StartUp_Create_Startup_Incident.xlsx,Startup Create Startup Incident,Create Startup Incident,,Create Startup Incident,Create Startup Incident.,,
P8,StartUp_Customer_Calls_For_Start_Up.xlsx,Startup Customer Calls For Start Up,Customer Calls For Start Up,,Customer Calls For Start Up,Customer Calls For Start Up.,,
P9,StartUp_Generator_Startup.xlsx,Startup Generator Startup,Generator Startup,,Generator Startup,Generator Startup.,,
P10,StartUp_Genset_Sold_by_Palco.xlsx,Startup Genset Sold By Palco,Genset Sold by Palco,,Genset Sold by Palco,Gen. Set Sold by Palco.,,
P11,StartUp_Is_Original_Order_Known.xlsx,Startup Is Original Order Known,Is Original Order Known,,Is Original Order Known,Is Original Order Known.,,
P12,StartUp_No_Gen_Set_Not_sold_by_Palco.xlsx,Startup No Gen Set Not Sold By Palco,No Gen Set Not sold by Palco — C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx,,No Gen Set Not sold by Palco — C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx,No Gen. Set Not sold by Palco. C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx.,,
P13,StartUp_Opening_Slide_for_PPS.xlsx,Startup Opening Slide For PPS,Opening Slide for PPS,,Opening Slide for PPS,Opening Slide for PPS.,,
P14,StartUp_Order_Enquiry_Using_Serial_Number.xlsx,Startup Order Enquiry Using Serial Number,Order Enquiry Using Serial Number,,Order Enquiry Using Serial Number,Order Enquiry Using Serial Number.,,
P15,StartUp_Order_Number_is_known.xlsx,Startup Order Number Is Known,Order Number is known,,Order Number is known,Order Number is known.,,
P16,StartUp_Original_Sale_Order_Not_Known.xlsx,Startup Original Sale Order Not Known,Original Sale Order Not Known — For each method write a words on what this leans best for and a disclaimer that each user can choose their own way,,Original Sale Order Not Known — For each method write a words on what this leans best for and a disclaimer that each user can choose their own way,Original Sale Order Not Known. For each method write a words on what this leans best for and a disclaimer that each user can. Choose their own way.,,
P17,StartUp_Palco_Power_Systems.xlsx,Startup Palco Power Systems,Palco Power Systems,,Palco Power Systems,Palco Power Systems.,,
P18,StartUp_Perform_Order_Enquiry.xlsx,Startup Perform Order Enquiry,Perform Order Enquiry,,Perform Order Enquiry,Perform Order Enquiry.,,
P19,StartUp_Pictorial_representation_of_Quote_to_Cash_similar_to_Service_to_Cash.xlsx,Startup Pictorial Representation Of Quote To Cash Similar To Service To Cash,Pictorial representation of Quote to Cash similar to Service to Cash,,Pictorial representation of Quote to Cash similar to Service to Cash,Pictorial representation of Quote to Cash similar to Service to Cash.,,
P20,StartUp_Print_Pick_ticket.xlsx,Startup Print Pick Ticket,Print Pick ticket,,Print Pick ticket,Print. Pick ticket.,,
P21,StartUp_Register_Unit.xlsx,Startup Register Unit,Register Unit,,Register Unit,Register Unit.,,
P22,StartUp_Schedule_startup.xlsx,Startup Schedule Startup,Schedule startup,,Schedule startup,Schedule startup.,,
P23,StartUp_Shipping_Feed_back.xlsx,Startup Shipping Feed Back,Shipping Feed back,,Shipping Feed back,Shipping Feed back.,,
P24,StartUp_Verify_Payment_Status.xlsx,Startup Verify Payment Status,Verify Payment Status,,Verify Payment Status,Verify Payment Status.,,
