Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Narr1,Narr2,Narr3,OPM_Step,Source_Title_used
PPS_Service_StrtUp_251123_1434.pptx,1,| S000. Opening Slide for PPS – Service – Generator Startup Deck,S000. Opening Slide for PPS - Service - Generator Startup Deck,S000,Opening Slide for PPS,/images/StartUp/S000.png,,S001,,PM-selected,About Palco Power Systems and Scott Electric and a Welcome to Training Add Lines Add Startup Notes Assigned Tech Performs. Set Sold by Palco Is Original Order Known No Gen. Set Not sold by Palco. C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx Opening Slide for PPS Order Enquiry Using Serial Number Order Number is known Original Sale Order Not Known. For each method write a words on what this leans best for and a disclaimer that each user can. Choose their own way Palco Power Systems Perform Order Enquiry Pictorial representation of Quote to Cash similar to Service to. Pick ticket Register Unit Schedule startup Shipping Feed back Verify Payment Status Yes Gen. Set Sold by Palco You have successfully completed this SOP.,About Palco Power Systems and Scott Electric and a Welcome to Training Add Lines Add Startup Notes Assigned Tech Performs Start Create Chargeable SRO Create New Unit Create Startup Incident Customer Calls For Start Up Generator Startup Genset Sold by Palco Is Original Order Known No Gen Set Not sold by Palco — C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx Opening Slide for PPS Order Enquiry Using Serial Number Order Number is known Original Sale Order Not Known — For each method write a words on what this leans best for and a disclaimer that each user can choose their own way Palco Power Systems Perform Order Enquiry Pictorial representation of Quote to Cash similar to Service to Cash Print Pick ticket Register Unit Schedule startup Shipping Feed back Verify Payment Status Yes Genset Sold by Palco You have successfully completed this SOP,PM,PM-selected
PPS_Service_StrtUp_251123_1434.pptx,2,S001. About Palco Power Systems and Scott Electric and  a Welcome to Training,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001,About Palco Power Systems and Scott Electric and a Welcome to Training,/images/StartUp/S001.png,,S002,,Startup About Palco Power Systems And Scott Electric And A Welcome To Training,About Palco Power Systems and Scott Electric and a Welcome to Training.,About Palco Power Systems and Scott Electric and a Welcome to Training,P1,Startup About Palco Power Systems And Scott Electric And A Welcome To Training
PPS_Service_StrtUp_251123_1434.pptx,3,S002.  Palco Power Systems – Service to Cash Work Flow,S002. Palco Power Systems - Service to Cash Work Flow,S002,Palco Power Systems,/images/StartUp/S002.png,,S003,,Startup Palco Power Systems,Palco Power Systems.,Palco Power Systems,P17,Startup Palco Power Systems
PPS_Service_StrtUp_251123_1434.pptx,4,S003.  Pictorial representation of  Quote to Cash similar to Service to Cash   - At PPS Service,S003. Pictorial representation of Quote to Cash similar to Service to Cash - At PPS Service,S003,Pictorial representation of Quote to Cash similar to Service to Cash,/images/StartUp/S003.png,,M1,,Startup Pictorial Representation Of Quote To Cash Similar To Service To Cash,Pictorial representation of Quote to Cash similar to Service to Cash.,Pictorial representation of Quote to Cash similar to Service to Cash,P19,Startup Pictorial Representation Of Quote To Cash Similar To Service To Cash
PPS_Service_StrtUp_251123_1434.pptx,5,M1. Generator Startup - At PPS Service,M1. Generator Startup - At PPS Service,M1,Generator Startup,/images/StartUp/M1.png,,S1,,Startup Generator Startup,Generator Startup.,Generator Startup,P9,Startup Generator Startup
PPS_Service_StrtUp_251123_1434.pptx,6,S1. Customer Calls For Start Up– Startup SOP,S1. Customer Calls For Start Up- Startup SOP,S1,Customer Calls For Start Up,/images/StartUp/S1.png,,D1,,Startup Customer Calls For Start Up,Customer Calls For Start Up.,Customer Calls For Start Up,P8,Startup Customer Calls For Start Up
PPS_Service_StrtUp_251123_1434.pptx,7,D1. Genset Sold by Palco – Startup SOP,D1. Genset Sold by Palco - Startup SOP,D1,Genset Sold by Palco,/images/StartUp/D1.png,,Y1,,Startup Genset Sold By Palco,Gen. Set Sold by Palco.,Genset Sold by Palco,P10,Startup Genset Sold By Palco
PPS_Service_StrtUp_251123_1434.pptx,8,Y1. Yes Genset Sold by Palco – Startup SOP,Y1. Yes Genset Sold by Palco - Startup SOP,Y1,Yes Genset Sold by Palco,/images/StartUp/Y1.png,,D2,,Startup Yes Genset Sold By Palco,Yes Gen. Set Sold by Palco.,Yes Genset Sold by Palco,P25,Startup Yes Genset Sold By Palco
PPS_Service_StrtUp_251123_1434.pptx,9,D2. Is Original Order Known– Startup SOP,D2. Is Original Order Known- Startup SOP,D2,Is Original Order Known,/images/StartUp/D2.png,,Y2,N2,Startup Is Original Order Known,Is Original Order Known.,Is Original Order Known,P11,Startup Is Original Order Known
PPS_Service_StrtUp_251123_1434.pptx,10,Y2. Order Number is known– Startup SOP,Y2. Order Number is known- Startup SOP,Y2,Order Number is known,/images/StartUp/Y2.png,,S2,,Startup Order Number Is Known,Order Number is known.,Order Number is known,P15,Startup Order Number Is Known
PPS_Service_StrtUp_251123_1434.pptx,11,S2. Perform Order Enquiry – Startup SOP,S2. Perform Order Enquiry - Startup SOP,S2,Perform Order Enquiry,/images/StartUp/S2.png,,S3,,Startup Perform Order Enquiry,Perform Order Enquiry.,Perform Order Enquiry,P18,Startup Perform Order Enquiry
PPS_Service_StrtUp_251123_1434.pptx,12,S3. Verify Payment Status – Startup SOP,S3. Verify Payment Status - Startup SOP,S3,Verify Payment Status,/images/StartUp/S3.png,,S4,,Startup Verify Payment Status,Verify Payment Status.,Verify Payment Status,P24,Startup Verify Payment Status
PPS_Service_StrtUp_251123_1434.pptx,13,S4. Create Startup Incident – Startup SOP,S4. Create Startup Incident - Startup SOP,S4,Create Startup Incident,/images/StartUp/S4.png,,S8,,Startup Create Startup Incident,Create Startup Incident.,Create Startup Incident,P7,Startup Create Startup Incident
PPS_Service_StrtUp_251123_1434.pptx,14,S8. Add Startup Notes– Startup SOP,S8. Add Startup Notes- Startup SOP,S8,Add Startup Notes,/images/StartUp/S8.png,,S9,,Startup Add Startup Notes,Add Startup Notes.,Add Startup Notes,P3,Startup Add Startup Notes
PPS_Service_StrtUp_251123_1434.pptx,15,S9. Add Lines– Startup SOP,S9. Add Lines- Startup SOP,S9,Add Lines,/images/StartUp/S9.png,,S10,,Startup Add Lines,Add Lines.,Add Lines,P2,Startup Add Lines
PPS_Service_StrtUp_251123_1434.pptx,16,S10. Schedule startup – Startup SOP,S10. Schedule startup - Startup SOP,S10,Schedule startup,/images/StartUp/S10.png,,S11,,Startup Schedule Startup,Schedule startup.,Schedule startup,P22,Startup Schedule Startup
PPS_Service_StrtUp_251123_1434.pptx,17,S11. Print Pick ticket– Startup SOP,S11. Print Pick ticket- Startup SOP,S11,Print Pick ticket,/images/StartUp/S11.png,,S12,,Startup Print Pick Ticket,Print. Pick ticket.,Print Pick ticket,P20,Startup Print Pick Ticket
PPS_Service_StrtUp_251123_1434.pptx,18,S12. Shipping Feed back – Startup SOP,S12. Shipping Feed back - Startup SOP,S12,Shipping Feed back,/images/StartUp/S12.png,,S13,,Startup Shipping Feed Back,Shipping Feed back.,Shipping Feed back,P23,Startup Shipping Feed Back
PPS_Service_StrtUp_251123_1434.pptx,19,S13. Assigned Tech Performs Start-up– Startup SOP,S13. Assigned Tech Performs Start-up- Startup SOP,S13,Assigned Tech Performs Start,/images/StartUp/S13.png,,S14,,Startup Assigned Tech Performs Start,Assigned Tech Performs Start.,Assigned Tech Performs Start,P4,Startup Assigned Tech Performs Start
