SelectionTitle,Title,Code,Title_short,OPM_Step,Source_File,Source_Title,Step_narr_in,Code-OPM_S,Match_conf
| S000. Opening Slide for PPS – Service – Generator Startup Deck,S000. Opening Slide for PPS - Service - Generator Startup Deck,S000,Opening Slide for PPS,,,,,PM,
S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001,About Palco Power Systems and Scott Electric and a Welcome to Training,,,,,P1,
S002. Palco Power Systems – Service to Cash Work Flow,S002. Palco Power Systems - Service to Cash Work Flow,S002,Palco Power Systems,,,,,P17,
S003. Pictorial representation of Quote to Cash similar to Service to Cash - At PPS Service,S003. Pictorial representation of Quote to Cash similar to Service to Cash - At PPS Service,S003,Pictorial representation of Quote to Cash similar to Service to Cash,,,,,P19,
M1. Generator Startup - At PPS Service,M1. Generator Startup - At PPS Service,M1,Generator Startup,,,,,P9,
S1. Customer Calls For Start Up– Startup SOP,S1. Customer Calls For Start Up- Startup SOP,S1,Customer Calls For Start Up,,,,,P8,
D1. Genset Sold by Palco – Startup SOP,D1. Genset Sold by Palco - Startup SOP,D1,Genset Sold by Palco,,,,,P10,
Y1. Yes Genset Sold by Palco – Startup SOP,Y1. Yes Genset Sold by Palco - Startup SOP,Y1,Yes Genset Sold by Palco,,,,,P25,
D2. Is Original Order Known– Startup SOP,D2. Is Original Order Known- Startup SOP,D2,Is Original Order Known,,,,,P11,
Y2. Order Number is known– Startup SOP,Y2. Order Number is known- Startup SOP,Y2,Order Number is known,,,,,P15,
S2. Perform Order Enquiry – Startup SOP,S2. Perform Order Enquiry - Startup SOP,S2,Perform Order Enquiry,,,,,P18,
S3. Verify Payment Status – Startup SOP,S3. Verify Payment Status - Startup SOP,S3,Verify Payment Status,,,,,P24,
S4. Create Startup Incident – Startup SOP,S4. Create Startup Incident - Startup SOP,S4,Create Startup Incident,,,,,P7,
S8. Add Startup Notes– Startup SOP,S8. Add Startup Notes- Startup SOP,S8,Add Startup Notes,,,,,P3,
S9. Add Lines– Startup SOP,S9. Add Lines- Startup SOP,S9,Add Lines,,,,,P2,
S10. Schedule startup – Startup SOP,S10. Schedule startup - Startup SOP,S10,Schedule startup,,,,,P22,
S11. Print Pick ticket– Startup SOP,S11. Print Pick ticket- Startup SOP,S11,Print Pick ticket,,,,,P20,
S12. Shipping Feed back – Startup SOP,S12. Shipping Feed back - Startup SOP,S12,Shipping Feed back,,,,,P23,
S13. Assigned Tech Performs Start-up– Startup SOP,S13. Assigned Tech Performs Start-up- Startup SOP,S13,Assigned Tech Performs Start,,,,,P4,
S14. Register Unit– Startup SOP,S14. Register Unit- Startup SOP,S14,Register Unit,,,,,P21,
S5. Order Enquiry Using Serial Number– Startup SOP,S5. Order Enquiry Using Serial Number- Startup SOP,S5,Order Enquiry Using Serial Number,,,,,P14,
S6. Create New Unit – Startup SOP,S6. Create New Unit - Startup SOP,S6,Create New Unit,,,,,P6,
S7. Create Chargeable SRO – Startup SOP,S7. Create Chargeable SRO - Startup SOP,S7,Create Chargeable SRO,,,,,P5,
N2. Original Sale Order Not Known – Startup SOP,N2. Original Sale Order Not Known - Startup SOP,N1,Original Sale Order Not Known,,,,,P16,
N2. Original Sale Order Not Known – Startup SOP,N2. Original Sale Order Not Known - Startup SOP,N3,Original Sale Order Not Known,,,,,P16,
N2. No Gen Set Not sold by Palco – Startup SOP,N2. No Gen Set Not sold by Palco - Startup SOP,N1,No Gen Set Not sold by Palco,,,,,,
S999. You have successfully completed this SOP,S999. You have successfully completed this SOP,S999,You have successfully completed this SOP,,,,,P26,
,,,,P1,StartUp_About_Palco_Power_Systems_and_Scott_Electric_and_a_Welcome_to_Training.xlsx,Startup About Palco Power Systems And Scott Electric And A Welcome To Training,About Palco Power Systems and Scott Electric and a Welcome to Training,,
,,,,P2,StartUp_Add_Lines.xlsx,Startup Add Lines,Add Lines,,
,,,,P3,StartUp_Add_Startup_Notes.xlsx,Startup Add Startup Notes,Add Startup Notes,,
