Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,match_code_OPM,OPM_Step,Source_Title,Narr1,Narr2,Narr3,Disp_next1,Disp_next2,Disp_next3,UAP url,UAP Label,start_here,Mismatch
PPS_Service_StrtUp_251123_1434.pptx,1,| S000. Opening Slide for PPS – Service – Generator Startup Deck,S000. Opening Slide for PPS - Service - Generator Startup Deck,S000,Opening Slide for PPS,/images/StartUp/S000.png,,S001,,,PM,PM-selected,PM-selected,About Palco Power Systems and Scott Electric and a Welcome to Training Add Lines Add Startup Notes Assigned Tech Performs. Set Sold by Palco Is Original Order Known No Gen. Set Not sold by Palco. C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx Opening Slide for PPS Order Enquiry Using Serial Number Order Number is known Original Sale Order Not Known. For each method write a words on what this leans best for and a disclaimer that each user can. Choose their own way Palco Power Systems Perform Order Enquiry Pictorial representation of Quote to Cash similar to Service to. Pick ticket Register Unit Schedule startup Shipping Feed back Verify Payment Status Yes Gen. Set Sold by Palco You have successfully completed this SOP.,About Palco Power Systems and Scott Electric and a Welcome to Training Add Lines Add Startup Notes Assigned Tech Performs Start Create Chargeable SRO Create New Unit Create Startup Incident Customer Calls For Start Up Generator Startup Genset Sold by Palco Is Original Order Known No Gen Set Not sold by Palco — C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx Opening Slide for PPS Order Enquiry Using Serial Number Order Number is known Original Sale Order Not Known — For each method write a words on what this leans best for and a disclaimer that each user can choose their own way Palco Power Systems Perform Order Enquiry Pictorial representation of Quote to Cash similar to Service to Cash Print Pick ticket Register Unit Schedule startup Shipping Feed back Verify Payment Status Yes Genset Sold by Palco You have successfully completed this SOP,About Palco Power Systems and Scott Electric and a Welcome to Training,,,,,,
PPS_Service_StrtUp_251123_1434.pptx,2,S001. About Palco Power Systems and Scott Electric and  a Welcome to Training,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001,About Palco Power Systems and Scott Electric and a Welcome to Training,/images/StartUp/S001.png,,S002,,,P1,Startup About Palco Power Systems And Scott Electric And A Welcome To Training,About Palco Power Systems And Scott Electric And A Welcome To Training,About Palco Power Systems and Scott Electric and a Welcome to Training.,About Palco Power Systems and Scott Electric and a Welcome to Training,Palco Power Systems,,,,,,
PPS_Service_StrtUp_251123_1434.pptx,3,S002.  Palco Power Systems – Service to Cash Work Flow,S002. Palco Power Systems - Service to Cash Work Flow,S002,Palco Power Systems,/images/StartUp/S002.png,,S003,,,P17,Startup Palco Power Systems,Palco Power Systems,Palco Power Systems.,Palco Power Systems,Pictorial representation of Quote to Cash similar to Service to Cash,,,,,,
PPS_Service_StrtUp_251123_1434.pptx,4,S003.  Pictorial representation of  Quote to Cash similar to Service to Cash   - At PPS Service,S003. Pictorial representation of Quote to Cash similar to Service to Cash - At PPS Service,S003,Pictorial representation of Quote to Cash similar to Service to Cash,/images/StartUp/S003.png,,M1,,,P19,Startup Pictorial Representation Of Quote To Cash Similar To Service To Cash,Pictorial Representation Of Quote To Cash Similar To Service To Cash,Pictorial representation of Quote to Cash similar to Service to Cash.,Pictorial representation of Quote to Cash similar to Service to Cash,Generator Startup,,,,,,
PPS_Service_StrtUp_251123_1434.pptx,5,M1. Generator Startup - At PPS Service,M1. Generator Startup - At PPS Service,M1,Generator Startup,/images/StartUp/M1.png,,S1,,,P9,Startup Generator Startup,Generator Startup,Generator Startup.,Generator Startup,Customer Calls For Start Up,,,,,,
PPS_Service_StrtUp_251123_1434.pptx,6,S1. Customer Calls For Start Up– Startup SOP,S1. Customer Calls For Start Up- Startup SOP,S1,Customer Calls For Start Up,/images/StartUp/S1.png,,D1,,,P8,Startup Customer Calls For Start Up,Customer Calls For Start Up,Customer Calls For Start Up.,Customer Calls For Start Up,Genset Sold by Palco,,,,,,
PPS_Service_StrtUp_251123_1434.pptx,7,D1. Genset Sold by Palco – Startup SOP,D1. Genset Sold by Palco - Startup SOP,D1,Genset Sold by Palco,/images/StartUp/D1.png,Was the Generator sold through Palco?,Y1,S5,,P10,Startup Genset Sold By Palco,Genset Sold By Palco,Gen. Set Sold by Palco.,Genset Sold by Palco,Yes Genset Sold by Palco,"No, Genset was not sold by Palco",,,,,
PPS_Service_StrtUp_251123_1434.pptx,8,Y1. Yes Genset Sold by Palco – Startup SOP,Y1. Yes Genset Sold by Palco - Startup SOP,Y1,Yes Genset Sold by Palco,/images/StartUp/Y1.png,,D2,,,P25,Startup Yes Genset Sold By Palco,Yes Genset Sold By Palco,Yes Gen. Set Sold by Palco.,Yes Genset Sold by Palco,Is Original Order Known,,,,,,
PPS_Service_StrtUp_251123_1434.pptx,9,D2. Is Original Order Known– Startup SOP,D2. Is Original Order Known- Startup SOP,D2,Is Original Order Known,/images/StartUp/D2.png,In the Original Order number known,Y2,N2,,P11,Startup Is Original Order Known,Is Original Order Known,Is Original Order Known.,Is Original Order Known,Order Number is known,No the Original Sales order is not Known,,,,,
PPS_Service_StrtUp_251123_1434.pptx,10,Y2. Order Number is known– Startup SOP,Y2. Order Number is known- Startup SOP,Y2,Order Number is known,/images/StartUp/Y2.png,,S2,,,P15,Startup Order Number Is Known,Order Number Is Known,Order Number is known.,Order Number is known,Perform Order Enquiry,,,,,,
PPS_Service_StrtUp_251123_1434.pptx,11,S2. Perform Order Enquiry – Startup SOP,S2. Perform Order Enquiry - Startup SOP,S2,Perform Order Enquiry,/images/StartUp/S2.png,,S3,,,P18,Startup Perform Order Enquiry,Perform Order Enquiry,Perform Order Enquiry.,Perform Order Enquiry,Verify Payment Status,,,https://scottelectricusa.uap.infor.com/#/content/34c69ec2-473e-408c-b4ac-ca2d8f3da53d?contextId=677cdca2-0d11-473d-8841-348a363b3d1e,01_Order Inquiry,,
PPS_Service_StrtUp_251123_1434.pptx,12,S3. Verify Payment Status – Startup SOP,S3. Verify Payment Status - Startup SOP,S3,Verify Payment Status,/images/StartUp/S3.png,,S4,,,P24,Startup Verify Payment Status,Verify Payment Status,Verify Payment Status.,Verify Payment Status,Create Startup Incident,,,https://scottelectricusa.uap.infor.com/#/content/400caab5-7e35-448a-be7c-909185738de7?contextId=75e632cb-d762-4392-8959-2fbb9f6b8135,"02_Review Taxes, Totals, Payments ",,
