Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,match_code_OPM,OPM_Step,Source_Title,Narr1,Narr2,Narr3,Disp_next1,Disp_next2,Disp_next3,UAP url,UAP Label,start_here,Mismatch
TCH_PPS_SOP.pptx,1,,Template on for creating  SOPPPT option,Slide_01,Slide_01,/images/Tech/Slide_01.png,,M1,,,,,Template on for creating  SOPPPT option,,,,,,,,No,No
TCH_PPS_SOP.pptx,2,Mst_Tech_M,.M1 – Tech Mobile,M1,Mst_Tech_M,/images/Tech/M1.png,,S1,,,PM,Tech – Master,.M1,"Log into the ISM Tech Mobile App on a touchscreen tablet device Create a. Then click done Back arrow Clock out of labor Change the work code to. On the Wok Queue screen, choose the appointment from either ""Today"" or "" All"". Scroll to bottom of screen to reach materials tap the plus Add Material Upper. Example. ""15W40"" for oil Search choose the material from the search findings. Tap radio dial Tap Done At the top of the pop up Tap on. For this example of number of oil quarts needed 3. Tap Done At the top of the screen Do not change price or cost.","Log into the ISM Tech Mobile App on a touchscreen tablet device Create a new SRO within the ISM Tech Mobile App Samsung Galaxy. Then click done Back arrow Clock out of labor Change the work code to service RESI/IND onsite depending on the type of service show. On the Wok Queue screen, select the appointment from either ""Today"" or "" All"" tap materials. Scroll to bottom of screen to reach materials tap the plus Add Material Upper right corner of material screen tap actual material tap the. Example. ""15W40"" for oil Search Select the material from the search findings. Tap radio dial Tap Done At the top of the pop up Tap on Quantity to enter quantity. For this example of number of oil quarts needed 3. Tap Done At the top of the screen Do not change price or cost Once on site work is complete, clock into operation 1/.",,,,,,No,No
TCH_PPS_SOP.pptx,3,App_Acpt,S1. Appointment Accepted – Tech Mobile SRO,S1,App_Acpt,/images/Tech/S1.png,,S2,,,,,S1. Appointment Accepted,,,,,,,,No,No
TCH_PPS_SOP.pptx,4,Trvl_2_Site,S2. Travel to Site – Tech Mobile SRO,S2,Trvl_2_Site,/images/Tech/S2.png,,S3,,,P2,Travel to Site,S2. Travel to Site,Choose the appointment you are traveling to Travel to Site Tech Mobile App choose.,Select the appointment you are traveling to Travel to Site Tech Mobile App Select operation 20 labor to clock into labor for travel Click.,,,,,,No,No
TCH_PPS_SOP.pptx,5,Perf_Site_Wrk,S3. Perform Site Work– Tech Mobile SRO,S3,Perf_Site_Wrk,/images/Tech/S3.png,,D1,,,P3,Perform Site Work,S3. Perform Site Work– Tech Mobile SRO,Clock into operation 10 parts for onsite service Perform Site Work Now choose materials. Then click done Back arrow Clock out of labor Change the work code to.,Clock into operation 10 parts for onsite service Perform Site Work Now select materials Click on planned at this time the actual will be. Then click done Back arrow Clock out of labor Change the work code to service RESI/IND onsite depending on the type of service show.,,,,,,No,No
TCH_PPS_SOP.pptx,6,Need_Add_Mat,D1. Additional Material Needed – Tech Mobile SRO,D1,Need_Add_Mat,/images/Tech/D1.png,D1. Additional Material Needed – Tech Mobile SRO,Y1,N1,,,,D1. Additional Material Needed,,,,,,,,No,No
TCH_PPS_SOP.pptx,7,Yes_Mat_needed,Y1. Yes Additional Material is needed– Tech Mobile SRO,Y1,Yes_Mat_needed,/images/Tech/Y1.png,,S4,,,,,Y1. Yes Additional Material is needed– Tech Mobile SRO,,,,,,,,No,No
TCH_PPS_SOP.pptx,8,Add_Material,S4. Add Additional material – Tech Mobile SRO,S4,Add_Material,/images/Tech/S4.png,,S5,,,P4,Add Material,S4. Add Additional material,"Tap on menu icon go to to Materials in Appointment Details Tap on the. On the Wok Queue screen, choose the appointment from either ""Today"" or "" All"". Scroll to bottom of screen to reach materials tap the plus Add Material Upper. Example. ""15W40"" for oil Search choose the material from the search findings. Tap radio dial Tap Done At the top of the pop up Tap on. For this example of number of oil quarts needed 3. Tap Done At the top of the screen Do not change price or cost.","Tap on menu icon Navigate to Materials in Appointment Details Tap on the Work Queue Tap the radio dial of the the appointment you. On the Wok Queue screen, select the appointment from either ""Today"" or "" All"" tap materials. Scroll to bottom of screen to reach materials tap the plus Add Material Upper right corner of material screen tap actual material tap the. Example. ""15W40"" for oil Search Select the material from the search findings. Tap radio dial Tap Done At the top of the pop up Tap on Quantity to enter quantity. For this example of number of oil quarts needed 3. Tap Done At the top of the screen Do not change price or cost.",,,,,,No,No
TCH_PPS_SOP.pptx,9,Trvl_Frm_Site,S5. Travel from Site – Tech Mobile SRO,S5,Trvl_Frm_Site,/images/Tech/S5.png,,D2,,,P5,Travel Leaving Site,S5. Travel from Site,"Once on site work is finish, clock into operation 1/ 20 for the drive.","Once on site work is complete, clock into operation 1/ 20 for the drive back to the shop, by tapping 1/20Trouble ServiceLabor Travel Leaving.",,,,,,No,No
TCH_PPS_SOP.pptx,10,Add_Wrk_needed,D2. Is Additional Work – Tech Mobile SRO,D2,Add_Wrk_needed,/images/Tech/D2.png,D2. Is Additional Work – Tech Mobile SRO,Y2,N2,,,,D2. Is Additional Work,,,,,,,,No,No
