Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Narr1,Narr2,Narr3,OPM_Step,Source_Title_used
PPS_Service_Warranty102525_1706.pptx,1,S00. Introduction  slide for deck for the warranty processing,S00. Introduction slide for deck for the warranty processing,S00,Introduction slide for deck for the warranty processing,/images/Warranty/S00.png,,M1,,PM-selected,Service Orders. Change Operations. Click On SRO Transactions To Navigate To Service Order transactions. Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts. Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor. Click The. Save (Disk) Invoicing in ISM. Choose the SRO you are billing. Click billing. Click. Set oper stat to invoice. Click Order invoicing. Click Process. Click Ok. Exit out of order invoiving. Click SX.e inquiry to view your SRO in CSD in shipped stage Service Orders. Change Working Status. On General Use Pull Down In Working Status And. Click On Possible Warranty. Click The. Save (Disk) Service Orders Customer Bill Override. Click On SRO Operations To Navigate To Service Order Operations. Select Operation 40 For Parts Warranty. Click On Customer Override. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk). Click Line 5 Of Listed Operations To. Select Operation 50 for Warranty Labor. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk) Service Orders. Filter Working Status. Use Pull Down In Working Status And. Click On Possible Warranty. Click. Filter In Place Warranty Claim Reconciliation. Mark Accepted. Drop Down In Claim Status And. Select Submitted. Click. Apply. Filter At Bottom Of Service Order. Enter The Amount Paid Into The Total Paid Column. Click. Mark Accepted Warranty Claim Reconciliation. Mark Reconciled. Drop Down In Claim Status And. Select To Be Reconciled. Click. Apply. Filter At Bottom Of Service Order. Click. Mark Reconciled Service Order. Select The SRO Processed As A Warranty And. Click SX.e Inquiry Order Inquiry. Drill Into The Order By Clicking The Arrow CSD. Search. Search Apece For Vendor Invoice C. Enter Vendor Invoice C. Enter. Click Vendor Invoice C. Enter. Type apeiswc In Group And. Select It. Click. Search.,From The Service Orders Screen Change Operations — Click On SRO Transactions Button To Navigate To Service Order transactions Screen Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor Click The Save Icon (Disk) Invoicing in ISM — Choose the SRO you are billing Click billing Click Set oper stat to invoice Click Order invoicing Click Process Click Ok Exit out of order invoiving Click SX.e inquiry to view your SRO in CSD in shipped stage From The Service Orders Screen Change Working Status — On General Tab Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click The Save Icon (Disk) From The Service Orders Screen Customer Bill Override — Click On SRO Operations Button To Navigate To Service Order Operations Screen Select Operation 40 For Parts Warranty Click On Customer Override Tab Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk) Click Line 5 Of Listed Operations To Select Operation 50 for Warranty Labor Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk) From The Service Orders Screen Filter Working Status — Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click Filter In Place Funnel Icon From The Warranty Claim Reconciliation Screen Mark Accepted — Use The Drop Down Menu In Claim Status Field And Select Submitted Click Apply Filter Button At Bottom Of Service Order Section Enter The Amount Paid Into The Total Paid Column Click Mark Accepted From The Warranty Claim Reconciliation Screen Mark Reconciled — Use The Drop Down Menu In Claim Status Field And Select To Be Reconciled Click Apply Filter Button At Bottom Of Service Order Section Click Mark Reconciled From The Service Order Screen Select The SRO Processed As A Warranty And Click SX.e Inquiry Button From The Order Inquiry Screen Drill Into The Order By Clicking The Arrow From The CSD Search Field Search Apece For Vendor Invoice Center Vendor Invoice Center — Click Vendor Invoice Center Type apeiswc In Group And Select It Click Search,PM,PM-selected
PPS_Service_Warranty102525_1706.pptx,2,M1. Warranty Process – PPS Service ISM,M1. Warranty Process - PPS Service ISM,M1,Warranty Process,/images/Warranty/M1.png,,S1,,PM-selected,Service Orders. Change Operations. Click On SRO Transactions To Navigate To Service Order transactions. Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts. Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor. Click The. Save (Disk) Invoicing in ISM. Choose the SRO you are billing. Click billing. Click. Set oper stat to invoice. Click Order invoicing. Click Process. Click Ok. Exit out of order invoiving. Click SX.e inquiry to view your SRO in CSD in shipped stage Service Orders. Change Working Status. On General Use Pull Down In Working Status And. Click On Possible Warranty. Click The. Save (Disk) Service Orders Customer Bill Override. Click On SRO Operations To Navigate To Service Order Operations. Select Operation 40 For Parts Warranty. Click On Customer Override. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk). Click Line 5 Of Listed Operations To. Select Operation 50 for Warranty Labor. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk) Service Orders. Filter Working Status. Use Pull Down In Working Status And. Click On Possible Warranty. Click. Filter In Place Warranty Claim Reconciliation. Mark Accepted. Drop Down In Claim Status And. Select Submitted. Click. Apply. Filter At Bottom Of Service Order. Enter The Amount Paid Into The Total Paid Column. Click. Mark Accepted Warranty Claim Reconciliation. Mark Reconciled. Drop Down In Claim Status And. Select To Be Reconciled. Click. Apply. Filter At Bottom Of Service Order. Click. Mark Reconciled Service Order. Select The SRO Processed As A Warranty And. Click SX.e Inquiry Order Inquiry. Drill Into The Order By Clicking The Arrow CSD. Search. Search Apece For Vendor Invoice C. Enter Vendor Invoice C. Enter. Click Vendor Invoice C. Enter. Type apeiswc In Group And. Select It. Click. Search.,From The Service Orders Screen Change Operations — Click On SRO Transactions Button To Navigate To Service Order transactions Screen Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor Click The Save Icon (Disk) Invoicing in ISM — Choose the SRO you are billing Click billing Click Set oper stat to invoice Click Order invoicing Click Process Click Ok Exit out of order invoiving Click SX.e inquiry to view your SRO in CSD in shipped stage From The Service Orders Screen Change Working Status — On General Tab Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click The Save Icon (Disk) From The Service Orders Screen Customer Bill Override — Click On SRO Operations Button To Navigate To Service Order Operations Screen Select Operation 40 For Parts Warranty Click On Customer Override Tab Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk) Click Line 5 Of Listed Operations To Select Operation 50 for Warranty Labor Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk) From The Service Orders Screen Filter Working Status — Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click Filter In Place Funnel Icon From The Warranty Claim Reconciliation Screen Mark Accepted — Use The Drop Down Menu In Claim Status Field And Select Submitted Click Apply Filter Button At Bottom Of Service Order Section Enter The Amount Paid Into The Total Paid Column Click Mark Accepted From The Warranty Claim Reconciliation Screen Mark Reconciled — Use The Drop Down Menu In Claim Status Field And Select To Be Reconciled Click Apply Filter Button At Bottom Of Service Order Section Click Mark Reconciled From The Service Order Screen Select The SRO Processed As A Warranty And Click SX.e Inquiry Button From The Order Inquiry Screen Drill Into The Order By Clicking The Arrow From The CSD Search Field Search Apece For Vendor Invoice Center Vendor Invoice Center — Click Vendor Invoice Center Type apeiswc In Group And Select It Click Search,PM,PM-selected
PPS_Service_Warranty102525_1706.pptx,3,S1. Tech Marks Service call as possible warranty – Warranty Process,S1. Tech Marks Service call as possible warranty - Warranty Process,S1,Tech Marks Service call as possible warranty,/images/Warranty/S1.png,,S2,,OPM Change Working Status Monday Dot Com Tim,Service Orders. Change Working Status. On General Use Pull Down In Working Status And. Click On Possible Warranty. Click The. Save (Disk).,From The Service Orders Screen Change Working Status — On General Tab Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click The Save Icon (Disk),P3,OPM Change Working Status Monday Dot Com Tim
PPS_Service_Warranty102525_1706.pptx,4,S2. Tech Filter Working status – Warranty Process,S2. Tech Filter Working status - Warranty Process,S2,Tech Filter Working status,/images/Warranty/S2.png,,S3,,OPM Filter Working Status Monday Dot Com Tim,Service Orders. Filter Working Status. Use Pull Down In Working Status And. Click On Possible Warranty. Click. Filter In Place.,From The Service Orders Screen Filter Working Status — Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click Filter In Place Funnel Icon,P5,OPM Filter Working Status Monday Dot Com Tim
PPS_Service_Warranty102525_1706.pptx,5,S3. Warranty Specialist submits Warranty to Vendor – Warranty Process,S3. Warranty Specialist submits Warranty to Vendor - Warranty Process,S3,Warranty Specialist submits Warranty to Vendor,/images/Warranty/S3.png,,D1,,,,,,
PPS_Service_Warranty102525_1706.pptx,6,D1. Was the warranty submission accepted – Warranty Process,D1. Was the warranty submission accepted - Warranty Process,D1,Was the warranty submission accepted,/images/Warranty/D1.png,,Y1,N1,OPM Mark Accepted For New Monday Dot Com Tim,Warranty Claim Reconciliation. Mark Accepted. Drop Down In Claim Status And. Select Submitted. Click. Apply. Filter At Bottom Of Service Order. Enter The Amount Paid Into The Total Paid Column. Click. Mark Accepted.,From The Warranty Claim Reconciliation Screen Mark Accepted — Use The Drop Down Menu In Claim Status Field And Select Submitted Click Apply Filter Button At Bottom Of Service Order Section Enter The Amount Paid Into The Total Paid Column Click Mark Accepted,P6,OPM Mark Accepted For New Monday Dot Com Tim
PPS_Service_Warranty102525_1706.pptx,7,"Y1. Yes, Warranty submission was accepted– Warranty Process","Y1. Yes, Warranty submission was accepted- Warranty Process",Y1,"Yes, Warranty submission was accepted",/images/Warranty/Y1.png,,S5,,OPM Mark Accepted For New Monday Dot Com Tim,Warranty Claim Reconciliation. Mark Accepted. Drop Down In Claim Status And. Select Submitted. Click. Apply. Filter At Bottom Of Service Order. Enter The Amount Paid Into The Total Paid Column. Click. Mark Accepted.,From The Warranty Claim Reconciliation Screen Mark Accepted — Use The Drop Down Menu In Claim Status Field And Select Submitted Click Apply Filter Button At Bottom Of Service Order Section Enter The Amount Paid Into The Total Paid Column Click Mark Accepted,P6,OPM Mark Accepted For New Monday Dot Com Tim
PPS_Service_Warranty102525_1706.pptx,8,S5. Change working Status – Warranty Process,S5. Change working Status - Warranty Process,S5,Change working Status,/images/Warranty/S5.png,,S6,,OPM Change Working Status Monday Dot Com Tim,Service Orders. Change Working Status. On General Use Pull Down In Working Status And. Click On Possible Warranty. Click The. Save (Disk).,From The Service Orders Screen Change Working Status — On General Tab Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click The Save Icon (Disk),P3,OPM Change Working Status Monday Dot Com Tim
PPS_Service_Warranty102525_1706.pptx,9,S6. Change Operation – Warranty Process,S6. Change Operation - Warranty Process,S6,Change Operation,/images/Warranty/S6.png,,S7,,CC04 CHANGE OPERATIONS TS,Service Orders. Change Operations. Click On SRO Transactions To Navigate To Service Order transactions. Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts. Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor. Click The. Save (Disk).,From The Service Orders Screen Change Operations — Click On SRO Transactions Button To Navigate To Service Order transactions Screen Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor Click The Save Icon (Disk),P1,CC04 CHANGE OPERATIONS TS
PPS_Service_Warranty102525_1706.pptx,10,S7. Override Customer Billing  – Warranty Process,S7. Override Customer Billing - Warranty Process,S7,Override Customer Billing,/images/Warranty/S7.png,,S8,,OPM Customer Bill Override Monday Dot Com Tim (1),Service Orders Customer Bill Override. Click On SRO Operations To Navigate To Service Order Operations. Select Operation 40 For Parts Warranty. Click On Customer Override. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk). Click Line 5 Of Listed Operations To. Select Operation 50 for Warranty Labor. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk).,From The Service Orders Screen Customer Bill Override — Click On SRO Operations Button To Navigate To Service Order Operations Screen Select Operation 40 For Parts Warranty Click On Customer Override Tab Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk) Click Line 5 Of Listed Operations To Select Operation 50 for Warranty Labor Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk),P4,OPM Customer Bill Override Monday Dot Com Tim (1)
