SelectionTitle,Title,Code,Title_short,Code-OPM_S,Match_conf,OPM_Step,Source_File,Source_Title,Step_narr_in
S00. Introduction slide for deck for the warranty processing,S00. Introduction slide for deck for the warranty processing,S00,Introduction slide for deck for the warranty processing,PM,,,,,
M1. Warranty Process – PPS Service ISM,M1. Warranty Process - PPS Service ISM,M1,Warranty Process,PM,,,,,
S1. Tech Marks Service call as possible warranty – Warranty Process,S1. Tech Marks Service call as possible warranty - Warranty Process,S1,Tech Marks Service call as possible warranty,P3,,,,,
S2. Tech Filter Working status – Warranty Process,S2. Tech Filter Working status - Warranty Process,S2,Tech Filter Working status,P5,,,,,
S3. Warranty Specialist submits Warranty to Vendor – Warranty Process,S3. Warranty Specialist submits Warranty to Vendor - Warranty Process,S3,Warranty Specialist submits Warranty to Vendor,,,,,,
D1. Was the warranty submission accepted – Warranty Process,D1. Was the warranty submission accepted - Warranty Process,D1,Was the warranty submission accepted,P6,,,,,
"Y1. Yes, Warranty submission was accepted– Warranty Process","Y1. Yes, Warranty submission was accepted- Warranty Process",Y1,"Yes, Warranty submission was accepted",P6,,,,,
S5. Change working Status – Warranty Process,S5. Change working Status - Warranty Process,S5,Change working Status,P3,,,,,
S6. Change Operation – Warranty Process,S6. Change Operation - Warranty Process,S6,Change Operation,P1,,,,,
S7. Override Customer Billing – Warranty Process,S7. Override Customer Billing - Warranty Process,S7,Override Customer Billing,P4,,,,,
S8. ISM Invoicing process – Warranty Process,S8. ISM Invoicing process - Warranty Process,S8,ISM Invoicing process,P2,,,,,
S9. Mark SRO as accepted – Warranty Process,S9. Mark SRO as accepted - Warranty Process,S9,Mark SRO as accepted,P6,,,,,
S10. Mark SRO as being reconciled – Warranty Process,S10. Mark SRO as being reconciled - Warranty Process,S10,Mark SRO as being reconciled,P7,,,,,
S11. Mark SRO as being reconciled – Warranty Process,S11. Mark SRO as being reconciled - Warranty Process,S11,Mark SRO as being reconciled,P7,,,,,
"N1. No, Warranty submission was accepted– Warranty Process","N1. No, Warranty submission was accepted- Warranty Process",N1,"No, Warranty submission was accepted",P6,,,,,
S4. SRO is treated as billable and processed as per SRO sop – Warranty Process,S4. SRO is treated as billable and processed as per SRO sop - Warranty Process,S4,SRO is treated as billable and processed as per SRO sop,P8,,,,,
S99.. Exit – You have come to the end of the path selected in the – Warranty Process,S99.. Exit - You have come to the end of the path selected in the - Warranty Process,S99,. Exit,PM,,,,,
,,,,,,P1,CC04_CHANGE_OPERATIONS_TS.csv,CC04 CHANGE OPERATIONS TS,From The Service Orders Screen Change Operations — Click On SRO Transactions Button To Navigate To Service Order transactions Screen Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor Click The Save Icon (Disk)
,,,,,,P2,Invoicing in ISM_TS.xlsx,Invoicing In ISM TS,Invoicing in ISM — Choose the SRO you are billing Click billing Click Set oper stat to invoice Click Order invoicing Click Process Click Ok Exit out of order invoiving Click SX.e inquiry to view your SRO in CSD in shipped stage
,,,,,,P3,OPM Change Working Status Monday Dot Com_Tim.xlsx,OPM Change Working Status Monday Dot Com Tim,From The Service Orders Screen Change Working Status — On General Tab Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click The Save Icon (Disk)
,,,,,,P4,OPM Customer Bill Override Monday Dot Com_Tim (1).xlsx,OPM Customer Bill Override Monday Dot Com Tim (1),From The Service Orders Screen Customer Bill Override — Click On SRO Operations Button To Navigate To Service Order Operations Screen Select Operation 40 For Parts Warranty Click On Customer Override Tab Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk) Click Line 5 Of Listed Operations To Select Operation 50 for Warranty Labor Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk)
,,,,,,P5,OPM Filter Working Status Monday Dot Com_Tim.xlsx,OPM Filter Working Status Monday Dot Com Tim,From The Service Orders Screen Filter Working Status — Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click Filter In Place Funnel Icon
,,,,,,P6,OPM Mark Accepted For New Monday Dot Com_Tim.xlsx,OPM Mark Accepted For New Monday Dot Com Tim,From The Warranty Claim Reconciliation Screen Mark Accepted — Use The Drop Down Menu In Claim Status Field And Select Submitted Click Apply Filter Button At Bottom Of Service Order Section Enter The Amount Paid Into The Total Paid Column Click Mark Accepted
,,,,,,P7,OPM Mark Reconciled For New Monday Dot Com_Tim.xlsx,OPM Mark Reconciled For New Monday Dot Com Tim,From The Warranty Claim Reconciliation Screen Mark Reconciled — Use The Drop Down Menu In Claim Status Field And Select To Be Reconciled Click Apply Filter Button At Bottom Of Service Order Section Click Mark Reconciled
,,,,,,P8,OPM Vendor Invoice Center For New Monday Dot Com_Tim.xlsx,OPM Vendor Invoice Center For New Monday Dot Com Tim,From The Service Order Screen Select The SRO Processed As A Warranty And Click SX.e Inquiry Button From The Order Inquiry Screen Drill Into The Order By Clicking The Arrow From The CSD Search Field Search Apece For Vendor Invoice Center Vendor Invoice Center — Click Vendor Invoice Center Type apeiswc In Group And Select It Click Search
,,,,,,PM,,Process Overview,
